,annual_return,annual_volatility,sharpe_ratio,sortino_ratio,max_drawdown,calmar_ratio,total_return,n_periods,positive_periods,negative_periods,win_rate,avg_turnover,avg_concentration,avg_effective_n
Mean-Variance,0.1613686023738876,0.21548818045202195,0.0029716321116941696,0.9488841643587768,-0.3200022852944236,0.504273281128032,5.873224034315367,3520.0,1958.0,1562.0,0.55625,0.5256468134367527,0.09909313352220885,10.091516580973586
Shrinkage,0.1605725135981147,0.21579722682262198,0.0029527372694273953,0.9427698315076157,-0.31999116286580925,0.5018029628069823,5.790879277472742,3520.0,1957.0,1563.0,0.555965909090909,0.5267615086688767,0.09907088249462041,10.093783105790951
Bayesian,0.16144029435091906,0.21546565353895883,0.0029732631543444043,0.949412531704784,-0.32000195715174146,0.5044978342878254,5.880576634708628,3520.0,1958.0,1562.0,0.55625,0.5255199957287012,0.09909002003974864,10.091833663963973
Robust,0.16162623805308787,0.21545043268526895,0.002976897992426169,0.9506195748489566,-0.32000969367054105,0.5050666940717321,5.898785270351934,3520.0,1958.0,1562.0,0.55625,0.5255882071905755,0.09903050098447075,10.097899031701484
Equal Weight,0.12696720113062818,0.1702719451264982,0.0029590200508392878,0.8796133321526332,-0.3757862165422503,0.33787083065180235,3.8037319486937404,3520.0,1946.0,1574.0,0.5528409090909091,0.0,0.010869565217391302,92.00000000000001
