,Bayesian,Equal Weight,Mean-Variance,Robust,Shrinkage
Bayesian,0.9999999999999999,2.5864590696036877e-17,0.9999999506149357,0.9999999112295067,0.9999913796994823
Equal Weight,2.5864590696036877e-17,0.9999999999999998,-1.1193496166056717e-16,-4.0716758697897756e-17,1.2316468063947727e-17
Mean-Variance,0.9999999506149359,-1.1193496166056717e-16,0.9999999999999999,0.9999998894217281,0.9999925488860474
Robust,0.9999999112295066,-4.0716758697897756e-17,0.9999998894217282,1.0,0.9999915357960313
Shrinkage,0.9999913796994823,1.2316468063947725e-17,0.9999925488860474,0.9999915357960313,1.0
