,Baseline Turnover,Constrained Turnover,Difference
Mean-Variance,0.5358666624200273,0.3397364190613005,-0.19613024335872686
Shrinkage,0.5348999159288111,0.3395849704703816,-0.19531494545842953
Bayesian,0.5358522077271602,0.3397388241635245,-0.19611338356363572
Robust,0.5256419000232133,0.3397670102509511,-0.18587488977226224
Equal Weight,0.0,0.0,0.0
