Date,Mean-Variance,Shrinkage,Bayesian,Robust,Equal Weight
2011-01-04 00:00:00-05:00,0.0,0.0,0.0,0.0,0.0
2011-01-05 00:00:00-05:00,0.0,0.0,0.0,0.0,0.0
2011-01-06 00:00:00-05:00,-0.006112376280360953,-0.006110427668522987,-0.006164116322375278,-0.00611254874846962,-0.00193558640903374
2011-01-07 00:00:00-05:00,-0.005865738478142039,-0.005863903192715533,-0.00591638256881093,-0.005865709139017016,-0.0031362655860063407
2011-01-10 00:00:00-05:00,-0.00509434195073006,-0.005094500585561782,-0.005092978945018645,-0.005093898546625443,-0.0036322999659601763
2011-01-11 00:00:00-05:00,-0.0049424595191448735,-0.00493838349404642,-0.005045496300926967,-0.004942330077995567,-0.0031132120769161325
2011-01-12 00:00:00-05:00,-0.0005767623794532109,-0.0005664763240999332,-0.0008432328050715382,-0.0005771513967049649,0.0
2011-01-13 00:00:00-05:00,0.0,0.0,0.0,0.0,-0.0011463588443261492
2011-01-14 00:00:00-05:00,0.0,0.0,0.0,0.0,0.0
2011-01-18 00:00:00-05:00,-0.002723001204954927,-0.0027219842184788992,-0.0027473630006590237,-0.0027229009251335972,0.0
2011-01-19 00:00:00-05:00,-0.013813787455840734,-0.013828089146578963,-0.01343240961277478,-0.013811667978671815,-0.009949836402804654
2011-01-20 00:00:00-05:00,-0.019527235645437496,-0.019542882196215357,-0.0190910723988051,-0.019524903013300964,-0.008991749781520699
2011-01-21 00:00:00-05:00,-0.017795297805523864,-0.01780189956753573,-0.017586672606291872,-0.0177932336660433,-0.007416135779683745
2011-01-24 00:00:00-05:00,-0.013733099410655569,-0.013745153228012298,-0.013384579940127744,-0.013729310748078222,-0.0022036139191122517
2011-01-25 00:00:00-05:00,-0.0125677362365583,-0.012583452481491831,-0.012131806753752857,-0.012564091066563352,-0.0020782519397011335
2011-01-26 00:00:00-05:00,-0.008843738846174154,-0.008858022457532009,-0.008440672299663787,-0.008839288211804432,-0.0008083645939187193
2011-01-27 00:00:00-05:00,0.0,0.0,0.0,0.0,0.0
2011-01-28 00:00:00-05:00,-0.022298919836439647,-0.022308953006672357,-0.022035351147176672,-0.022299820719636515,-0.01953505008385951
2011-01-31 00:00:00-05:00,-0.020052010461791624,-0.020058837024195343,-0.019876332022137608,-0.020051525286718292,-0.015964036448513252
2011-02-01 00:00:00-05:00,-0.0063606193150387855,-0.00635666844157644,-0.006468632428202527,-0.006360023535229806,-0.000922812741054482
2011-02-02 00:00:00-05:00,-0.009663896755028937,-0.009661574302108938,-0.009732271036352238,-0.009662974232102182,-0.0033433003233544344
2011-02-03 00:00:00-05:00,-0.008226154902768314,-0.008230231017871393,-0.008155468494403063,-0.008224564776033878,-0.0015362730584252869
2011-02-04 00:00:00-05:00,-0.001737399804528296,-0.0017407894271269401,-0.0016763391645894926,-0.0017361446056079499,0.0
2011-02-07 00:00:00-05:00,0.0,0.0,0.0,0.0,0.0
2011-02-08 00:00:00-05:00,0.0,0.0,0.0,0.0,0.0
2011-02-09 00:00:00-05:00,-0.00024649573660143393,-0.0002558265093929717,-3.647859139178026e-05,-0.00024584475468944017,-0.0019518454566068055
2011-02-10 00:00:00-05:00,0.0,0.0,0.0,0.0,-0.0023078445638412084
2011-02-11 00:00:00-05:00,0.0,0.0,0.0,0.0,0.0
2011-02-14 00:00:00-05:00,0.0,0.0,0.0,0.0,0.0
2011-02-15 00:00:00-05:00,-0.003562117588529426,-0.0035658137232463614,-0.0034690321799201737,-0.0035614779974097403,-0.0013490652199603455
2011-02-16 00:00:00-05:00,0.0,0.0,0.0,0.0,0.0
2011-02-17 00:00:00-05:00,0.0,0.0,0.0,0.0,0.0
2011-02-18 00:00:00-05:00,0.0,0.0,0.0,0.0,0.0
2011-02-22 00:00:00-05:00,-0.027281968926963024,-0.027305429293739632,-0.02676252800294252,-0.0272796595122155,-0.021588575262366176
2011-02-23 00:00:00-05:00,-0.04056948785396841,-0.04060145700139559,-0.03987223394689489,-0.04056581588479587,-0.032053226570705425
2011-02-24 00:00:00-05:00,-0.028774463074315276,-0.02880382116116093,-0.028118466732594546,-0.028771741299741957,-0.02681910852140308
2011-02-25 00:00:00-05:00,-0.021428162725074792,-0.021456486801858424,-0.020802882902961617,-0.021423865436144312,-0.01902260321762834
2011-02-28 00:00:00-05:00,-0.02179717948616594,-0.02183426841971798,-0.020982904876647043,-0.02179014330841419,-0.016278128503031612
2011-03-01 00:00:00-05:00,-0.041527321676762624,-0.04157303772089622,-0.0405090844249359,-0.04152065364445964,-0.031668725695707015
2011-03-02 00:00:00-05:00,-0.03983788151298648,-0.039889041237441136,-0.03869142706675115,-0.03983060191588574,-0.0313097045014411
2011-03-03 00:00:00-05:00,-0.02129010566939633,-0.02133753868891669,-0.020235881798898184,-0.02128202589401216,-0.01379390565854932
2011-03-04 00:00:00-05:00,-0.02506522213355528,-0.02511782252757577,-0.023878828879335186,-0.025057852457234738,-0.02042723762567973
2011-03-07 00:00:00-05:00,-0.033054941025156534,-0.03311121539521638,-0.031809704227615636,-0.03304734843771348,-0.027551496878394907
2011-03-08 00:00:00-05:00,-0.028821929985731704,-0.028875158620767734,-0.02760599013021541,-0.0288126678341144,-0.0185781154068355
2011-03-09 00:00:00-05:00,-0.03353784750344843,-0.03359485095769792,-0.03225476635455219,-0.03352861614659603,-0.019396667182395685
2011-03-10 00:00:00-05:00,-0.045002473571373894,-0.045064881029865854,-0.04362290835957989,-0.044994464676044975,-0.033763205294353726
