Model,Mean Turnover,Median Turnover,Std Turnover,Max Turnover,Min Turnover,Weight Volatility,Weight Range,Avg Herfindahl,Avg Assets Changed >1%
Bayesian,0.3377165692577887,0.32395205388678183,0.09741891341466903,0.700867358073184,0.0,0.011540092154489591,0.039305816399633195,0.02500012304722764,9.142857142857142
Equal Weight,0.0,0.0,0.0,0.0,0.0,1.739909506907025e-18,0.0,0.010869565217391294,0.0
Mean-Variance,0.33771417847164936,0.32398101575849325,0.09741838212618206,0.7008908618034498,0.0,0.01153984575673304,0.03930507622652144,0.025000131044518027,9.136904761904763
Robust,0.33774458757088527,0.32401346558213684,0.09743746231898569,0.7011529630345124,0.0,0.011540519304894468,0.03930844035160542,0.025000156324761207,9.142857142857142
Shrinkage,0.33756363136043843,0.32408548295205836,0.0974730716758787,0.7017279005866401,0.0,0.01153692027619017,0.039290119244860804,0.02500013152617831,9.130952380952381
