Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1962-01-02 00:00:00-05:00,0.1942721767742722,0.1942721767742722,0.19093072414398193,0.19093072414398193,352350,0.0,0.0
1962-01-03 00:00:00-05:00,0.1937949648547779,0.19761361005411876,0.1937949648547779,0.19474956393241882,710775,0.0,0.0
1962-01-04 00:00:00-05:00,0.19474956572850782,0.19809080080260869,0.1928403675556183,0.1928403675556183,911250,0.0,0.0
1962-01-05 00:00:00-05:00,0.19284038190208694,0.19379498105954965,0.18377108151135166,0.1890217363834381,880875,0.0,0.0
1962-01-08 00:00:00-05:00,0.18902163814789122,0.19236285790696012,0.18663501705017507,0.18949882686138153,473850,0.0,0.0
1962-01-09 00:00:00-05:00,0.18949885005972572,0.19427232790104487,0.18806706250960403,0.1899762600660324,577125,0.0,0.0
1962-01-10 00:00:00-05:00,0.1899762600660324,0.19331749406128154,0.18949885005972572,0.1899762600660324,352350,0.0,0.0
1962-01-11 00:00:00-05:00,0.19045372816458114,0.19618157105382567,0.19045372816458114,0.19188551604747772,692550,0.0,0.0
1962-01-12 00:00:00-05:00,0.19379479638833594,0.1985680365159247,0.19379479638833594,0.1971360146999359,972000,0.0,0.0
1962-01-15 00:00:00-05:00,0.19618159474946759,0.19618159474946759,0.19236294939915347,0.19331756234169006,625725,0.0,0.0
1962-01-16 00:00:00-05:00,0.1933175389919781,0.19427237305366313,0.19188551604747772,0.19188551604747772,376650,0.0,0.0
1962-01-17 00:00:00-05:00,0.19188534584323438,0.19618139703894144,0.19188534584323438,0.19236275553703308,674325,0.0,0.0
1962-01-18 00:00:00-05:00,0.19236294939915347,0.1952269956340858,0.19236294939915347,0.19331756234169006,710775,0.0,0.0
1962-01-19 00:00:00-05:00,0.19379495226000623,0.20238684117794037,0.19379495226000623,0.20238684117794037,1293975,0.0,0.0
1962-01-22 00:00:00-05:00,0.20238680203080145,0.20381882472159166,0.19952275664922106,0.2019093781709671,1148175,0.0,0.0
1962-01-23 00:00:00-05:00,0.2000002191945565,0.20238684117794037,0.19952279524237532,0.20238684117794037,923400,0.0,0.0
