Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2010-11-18 00:00:00-05:00,26.09994077679468,26.83819749613499,25.27219934272663,25.495912551879883,457044300,0.0,0.0
2010-11-19 00:00:00-05:00,25.466092575029617,25.727090910163877,24.690550601104235,25.548118591308594,107842000,0.0,0.0
2010-11-22 00:00:00-05:00,25.503379396559133,25.71217807900594,25.212551847531447,25.413894653320312,36650600,0.0,0.0
2010-11-23 00:00:00-05:00,25.31694027423006,25.34676945733941,24.750197173822304,24.794940948486328,31170200,0.0,0.0
2010-11-24 00:00:00-05:00,25.15288359430914,25.205083244455775,24.772571451145467,24.966455459594727,26138000,0.0,0.0
2010-11-26 00:00:00-05:00,24.91426583178926,25.21255210519193,24.76512269508792,25.205093383789062,12301200,0.0,0.0
2010-11-29 00:00:00-05:00,25.205093383789062,25.21255210519193,24.660723352797604,25.205093383789062,27776900,0.0,0.0
2010-11-30 00:00:00-05:00,25.003752607286163,25.540666805163223,24.876982779825724,25.503381729125977,57476900,0.0,0.0
2010-12-01 00:00:00-05:00,25.838947681979636,26.06266093593871,25.667431247787036,25.935888290405273,34633200,0.0,0.0
2010-12-02 00:00:00-05:00,26.040286136013975,26.085029922124516,25.734544042595765,25.861316680908203,23196100,0.0,0.0
2010-12-03 00:00:00-05:00,25.764371871948242,25.801656936069453,25.331860007739696,25.764371871948242,19395200,0.0,0.0
2010-12-06 00:00:00-05:00,25.712173461914062,25.935886702173647,25.659973800675765,25.712173461914062,11676500,0.0,0.0
2010-12-07 00:00:00-05:00,25.913516342369736,26.0179156652928,25.69725897650441,25.861316680908203,20823000,0.0,0.0
2010-12-08 00:00:00-05:00,25.809116083767464,25.898600808076186,25.60031744549108,25.689802169799805,12603900,0.0,0.0
2010-12-09 00:00:00-05:00,25.6226861059049,25.674885761787614,25.07085751485752,25.16034507751465,18402200,0.0,0.0
2010-12-10 00:00:00-05:00,25.24238128658959,25.346783485252622,25.003753378983607,25.212554931640625,11741700,0.0,0.0
2010-12-13 00:00:00-05:00,25.324407324216388,25.391521593498553,25.13052323777276,25.205093383789062,11029300,0.0,0.0
2010-12-14 00:00:00-05:00,25.15288382984089,25.29456818947025,24.944085227299176,25.272197723388672,15165600,0.0,0.0
