Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1962-01-02 00:00:00-05:00,0.9708660345891458,0.9774555217725921,0.9708660345891458,0.9752590656280518,43225,0.0,0.0
1962-01-03 00:00:00-05:00,0.9774557537706268,0.9862419366836548,0.9774557537706268,0.9862419366836548,88576,0.0,0.0
1962-01-04 00:00:00-05:00,0.9884385554488353,1.0016178913546538,0.9884385554488353,0.9928317070007324,79364,0.0,0.0
1962-01-05 00:00:00-05:00,0.9928306574314795,1.0016168324971106,0.9884375105237901,0.9906341433525085,45351,0.0,0.0
1962-01-08 00:00:00-05:00,0.9906345123201064,1.0016172055552766,0.9796517597100403,0.9950275421142578,96371,0.0,0.0
1962-01-09 00:00:00-05:00,0.9950282234017446,0.9994213749536417,0.9884385554488353,0.9928317070007324,66609,0.0,0.0
1962-01-10 00:00:00-05:00,0.9928320635781432,0.9928320635781432,0.9708667729292759,0.9730632901191711,41099,0.0,0.0
1962-01-11 00:00:00-05:00,0.9730632901191711,0.9752598073090663,0.9620806447947374,0.9730632901191711,49603,0.0,0.0
1962-01-12 00:00:00-05:00,0.9730630356651705,0.9796525261367598,0.9620803932126755,0.964276909828186,31887,0.0,0.0
1962-01-15 00:00:00-05:00,0.9642763307630966,0.9642763307630966,0.9401144250023656,0.946704089641571,38973,0.0,0.0
1962-01-16 00:00:00-05:00,0.9467036946625691,0.9467036946625691,0.9335245490074158,0.9335245490074158,27636,0.0,0.0
1962-01-17 00:00:00-05:00,0.9335247633063379,0.9357212781906128,0.9335247633063379,0.9357212781906128,41808,0.0,0.0
1962-01-18 00:00:00-05:00,0.9357212781906128,0.9357212781906128,0.9335247633063379,0.9357212781906128,33305,0.0,0.0
1962-01-19 00:00:00-05:00,0.9357212781906128,0.9401142485842668,0.9357212781906128,0.9357212781906128,40391,0.0,0.0
1962-01-22 00:00:00-05:00,0.9357217015513903,0.9357217015513903,0.9247390627861023,0.9247390627861023,53854,0.0,0.0
1962-01-23 00:00:00-05:00,0.9247390627861023,0.9269355192892531,0.9225425469080292,0.9247390627861023,46060,0.0,0.0
1962-01-24 00:00:00-05:00,0.918149556614051,0.918149556614051,0.9071669159323529,0.9159530997276306,51728,0.0,0.0
1962-01-25 00:00:00-05:00,0.9159532447815041,0.9181497020157638,0.9137567281723022,0.9137567281723022,43934,0.0,0.0
1962-01-26 00:00:00-05:00,0.9137558092057539,0.9137558092057539,0.9049696922302246,0.9049696922302246,58106,0.0,0.0
1962-01-29 00:00:00-05:00,0.9049707387086131,0.9115603489039892,0.9005775860784276,0.9071671962738037,34013,0.0,0.0
1962-01-30 00:00:00-05:00,0.9093633815817783,0.9203460216522217,0.9093633815817783,0.9203460216522217,36848,0.0,0.0
1962-01-31 00:00:00-05:00,0.9203452846024986,0.935721063387461,0.91595231521729,0.9335245490074158,64483,0.0,0.0
1962-02-01 00:00:00-05:00,0.9335245490074158,0.9423106659024786,0.9247384321123528,0.9335245490074158,70152,0.0,0.0
1962-02-02 00:00:00-05:00,0.9335247633063379,0.9401142485842668,0.9291316147879974,0.9357212781906128,38973,0.0,0.0
1962-02-05 00:00:00-05:00,0.9357215961883525,0.9445077180862427,0.9335250805576089,0.9445077180862427,53146,0.0,0.0
1962-02-06 00:00:00-05:00,0.9502668380737304,0.9502668380737304,0.9458365980855388,0.9502668380737305,41099,0.063505,0.0
1962-02-07 00:00:00-05:00,0.9502673262201544,0.9613426923751831,0.9458370839561748,0.9613426923751831,60940,0.0,0.0
1962-02-08 00:00:00-05:00,0.9613426923751831,0.9657727550104724,0.9569124501112035,0.9613426923751831,75821,0.0,0.0
1962-02-09 00:00:00-05:00,0.9613420089914555,0.9635570686726084,0.9591269493103026,0.9591269493103027,37556,0.0,0.0
1962-02-12 00:00:00-05:00,0.9591269493103026,0.9613420089914555,0.9569117698767748,0.9591269493103027,21967,0.0,0.0
1962-02-13 00:00:00-05:00,0.9591268057848905,0.9591268057848905,0.9524815678596495,0.9524815678596497,51020,0.0,0.0
1962-02-14 00:00:00-05:00,0.952481919226448,0.952481919226448,0.9325462579727173,0.9325462579727173,42516,0.0,0.0
1962-02-15 00:00:00-05:00,0.9325461070358203,0.9414064061451981,0.9236858079264425,0.934761106967926,58106,0.0,0.0
1962-02-16 00:00:00-05:00,0.9347613239890309,0.9391915643865636,0.92590102282258,0.9281160831451416,99914,0.0,0.0
1962-02-19 00:00:00-05:00,0.9303311978059029,0.948051679140418,0.9303311978059029,0.9325462579727173,70861,0.0,0.0
1962-02-20 00:00:00-05:00,0.9303312632201127,0.9303312632201127,0.9236860223762233,0.9281160831451416,60940,0.0,0.0
1962-02-21 00:00:00-05:00,0.9214711649955678,0.9214711649955678,0.9081806205045165,0.9103958010673523,88576,0.0,0.0
1962-02-23 00:00:00-05:00,0.9103959762702285,0.9126110375069098,0.8904603053876389,0.8948903679847717,113377,0.0,0.0
1962-02-26 00:00:00-05:00,0.8948907886229379,0.8993209131786544,0.8749551083696987,0.879385232925415,119755,0.0,0.0
1962-02-27 00:00:00-05:00,0.8793848195755444,0.9037507326839554,0.8793848195755444,0.8948903679847717,102040,0.0,0.0
1962-02-28 00:00:00-05:00,0.8993207801194023,0.9148263335227967,0.8993207801194023,0.9148263335227966,109834,0.0,0.0
1962-03-01 00:00:00-05:00,0.9148256504826452,0.9192558908276299,0.905965349421288,0.912610650062561,102748,0.0,0.0
1962-03-02 00:00:00-05:00,0.912610775794979,0.9148257765202287,0.90818053483963,0.9081805348396301,72278,0.0,0.0
1962-03-05 00:00:00-05:00,0.908180787959224,0.9126110301493282,0.8948903607700563,0.8993204832077026,85742,0.0,0.0
1962-03-06 00:00:00-05:00,0.8993198399663266,0.8993198399663266,0.8815993628903696,0.8860294222831726,89285,0.0,0.0
1962-03-07 00:00:00-05:00,0.8860301607540789,0.8860301607540789,0.8683095491563243,0.8727397918701172,107000,0.0,0.0
1962-03-08 00:00:00-05:00,0.8727392674630894,0.8948899288361544,0.8683090274113161,0.8882446885108948,52437,0.0,0.0
1962-03-09 00:00:00-05:00,0.8882452166987368,0.899320583909247,0.8882452166987368,0.8926754593849182,64483,0.0,0.0
1962-03-12 00:00:00-05:00,0.89267557866628,0.89267557866628,0.877169966697693,0.8771699666976929,72987,0.0,0.0
1962-03-13 00:00:00-05:00,0.8771693278862621,0.8948899288361544,0.8771693278862621,0.8882446885108948,76530,0.0,0.0
1962-03-14 00:00:00-05:00,0.8882451908163517,0.8948904348995178,0.863879395638466,0.8904603719711304,123298,0.0,0.0
