Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1962-01-02 00:00:00-05:00,0.5532409503049305,0.5700058299047072,0.5532409503049305,0.5574320554733276,254509,0.0,0.0
1962-01-03 00:00:00-05:00,0.5574318399428168,0.5616230964660645,0.5480017135456392,0.5616230964660645,505190,0.0,0.0
1962-01-04 00:00:00-05:00,0.5616230964660645,0.5710533758385788,0.5616230964660645,0.5616230964660645,254509,0.0,0.0
1962-01-05 00:00:00-05:00,0.5595277380946357,0.5595277380946357,0.5448584303010369,0.5469541549682617,376979,0.0,0.0
1962-01-08 00:00:00-05:00,0.5469539771628382,0.5480017435462178,0.5406669964241979,0.5438104867935181,399942,0.0,0.0
1962-01-09 00:00:00-05:00,0.5438104867935181,0.5480017435462178,0.5417149157829226,0.5438104867935181,376979,0.0,0.0
1962-01-10 00:00:00-05:00,0.5427631096507951,0.5427631096507951,0.5364762773789203,0.5375240445137024,304262,0.0,0.0
1962-01-11 00:00:00-05:00,0.5375234938597379,0.5406668302878268,0.5228541953424689,0.5354278087615967,269818,0.0,0.0
1962-01-12 00:00:00-05:00,0.535427919714236,0.5427626661023554,0.5249500274658203,0.5249500274658203,692723,0.0,0.0
1962-01-15 00:00:00-05:00,0.5249496941754513,0.5312364790743888,0.5249496941754513,0.5301885604858398,252595,0.0,0.0
1962-01-16 00:00:00-05:00,0.5301893378304405,0.5396196246147156,0.5280937652875468,0.5396196246147156,239200,0.0,0.0
1962-01-17 00:00:00-05:00,0.5396190642264054,0.5406668302878268,0.5322844723335077,0.5354278087615967,135866,0.0,0.0
1962-01-18 00:00:00-05:00,0.5354283647973355,0.5406673917642303,0.5333327922544417,0.5396196246147156,306176,0.0,0.0
1962-01-19 00:00:00-05:00,0.5385717096661109,0.5385717096661109,0.529141387225915,0.5333326458930969,170310,0.0,0.0
1962-01-22 00:00:00-05:00,0.5333327027184158,0.5385717670496395,0.5301892488221384,0.536476194858551,246854,0.0,0.0
1962-01-23 00:00:00-05:00,0.5364761824223295,0.5417152083882479,0.5343804955482483,0.5343804955482483,164570,0.0,0.0
1962-01-24 00:00:00-05:00,0.534380279221093,0.5385715365409851,0.5322847079269091,0.5385715365409851,139693,0.0,0.0
1962-01-25 00:00:00-05:00,0.538571298164984,0.5406668302878268,0.5333322383949292,0.5354278087615967,415251,0.0,0.0
