Date,Yield_Level,Yield_Change,Policy_Tone_Raw,Yield_Change_MA21,Policy_Tone_Smoothed,Policy_Tone_Zscore,Policy_Tone,Regime
2010-01-04,3.8410000801086426,,,,,,,Neutral
2010-01-05,3.755000114440918,-0.08599996566772461,0.08599996566772461,,,,,Neutral
2010-01-06,3.808000087738037,0.05299997329711914,-0.05299997329711914,,,,,Neutral
2010-01-07,3.822000026702881,0.01399993896484375,-0.01399993896484375,,,,,Neutral
2010-01-08,3.808000087738037,-0.01399993896484375,0.01399993896484375,,,,,Neutral
2010-01-11,3.818000078201294,0.009999990463256836,-0.009999990463256836,,,,,Neutral
2010-01-12,3.7190001010894775,-0.0989999771118164,0.0989999771118164,,,,,Neutral
2010-01-13,3.7829999923706055,0.06399989128112793,-0.06399989128112793,,,,,Neutral
2010-01-14,3.7339999675750732,-0.04900002479553223,0.04900002479553223,,,,,Neutral
2010-01-15,3.6760001182556152,-0.05799984931945801,0.05799984931945801,,,,,Neutral
2010-01-19,3.7070000171661377,0.03099989891052246,-0.03099989891052246,,,,,Neutral
2010-01-20,3.6589999198913574,-0.04800009727478027,0.04800009727478027,,,,,Neutral
2010-01-21,3.6110000610351562,-0.04799985885620117,0.04799985885620117,,,,,Neutral
2010-01-22,3.5980000495910645,-0.013000011444091797,0.013000011444091797,,,,,Neutral
2010-01-25,3.630000114440918,0.032000064849853516,-0.032000064849853516,,,,,Neutral
2010-01-26,3.630000114440918,0.0,-0.0,,,,,Neutral
2010-01-27,3.6440000534057617,0.01399993896484375,-0.01399993896484375,,,,,Neutral
2010-01-28,3.6579999923706055,0.01399993896484375,-0.01399993896484375,,,,,Neutral
2010-01-29,3.6089999675750732,-0.04900002479553223,0.04900002479553223,,,,,Neutral
2010-02-01,3.6540000438690186,0.04500007629394531,-0.04500007629394531,,,,,Neutral
2010-02-02,3.634999990463257,-0.01900005340576172,0.01900005340576172,,,,,Neutral
2010-02-03,3.703000068664551,0.06800007820129395,-0.06800007820129395,-0.006571429116385323,0.006571429116385323,,,Neutral
2010-02-04,3.609999895095825,-0.09300017356872559,0.09300017356872559,-0.006904772349766323,0.006904772349766323,,,Neutral
2010-02-05,3.5460000038146973,-0.06399989128112793,0.06399989128112793,-0.012476194472539993,0.012476194472539993,,,Neutral
2010-02-08,3.5920000076293945,0.046000003814697266,-0.046000003814697266,-0.010952381860642206,0.010952381860642206,,,Neutral
2010-02-09,3.632999897003174,0.0409998893737793,-0.0409998893737793,-0.00833334241594587,0.00833334241594587,,,Neutral
2010-02-10,3.694000005722046,0.06100010871887207,-0.06100010871887207,-0.005904765356154669,0.005904765356154669,,,Neutral
2010-02-11,3.7330000400543213,0.03900003433227539,-0.03900003433227539,0.0006666637602306548,-0.0006666637602306548,,,Neutral
2010-02-12,3.693000078201294,-0.039999961853027344,0.039999961853027344,-0.004285710198538644,0.004285710198538644,,,Neutral
2010-02-16,3.6640000343322754,-0.029000043869018555,0.029000043869018555,-0.0033333301544189453,0.0033333301544189453,,,Neutral
2010-02-17,3.742000102996826,0.07800006866455078,-0.07800006866455078,0.00314285641624814,-0.00314285641624814,,,Neutral
2010-02-18,3.802999973297119,0.06099987030029297,-0.06099987030029297,0.004571426482427688,-0.004571426482427688,,,Neutral
2010-02-19,3.7820000648498535,-0.020999908447265625,0.020999908447265625,0.005857149759928386,-0.005857149759928386,,,Neutral
2010-02-22,3.7990000247955322,0.01699995994567871,-0.01699995994567871,0.00895237922668457,-0.00895237922668457,,,Neutral
2010-02-23,3.690999984741211,-0.10800004005432129,0.10800004005432129,0.004428568340483166,-0.004428568340483166,,,Neutral
2010-02-24,3.694999933242798,0.003999948501586914,-0.003999948501586914,0.003095229466756185,-0.003095229466756185,,,Neutral
2010-02-25,3.6419999599456787,-0.05299997329711914,0.05299997329711914,0.0005714212145124163,-0.0005714212145124163,,,Neutral
