,AAPL,ABT,ACN,ADBE,AIG,AMD,AMGN,AMT,AMZN,AVGO,AXP,BA,BAC,BK,BKNG,BLK,BMY,BRK-B,C,CAT,CL,CMCSA,COF,COP,COST,CRM,CSCO,CVS,CVX,DHR,DIS,DUK,EMR,EXC,F,FDX,GD,GE,GILD,GOOG,GOOGL,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,LIN,LLY,LMT,LOW,MA,MCD,MDLZ,MDT,MET,MMM,MO,MRK,MS,MSFT,NEE,NFLX,NKE,NVDA,ORCL,PEP,PFE,PG,PM,QCOM,RTX,SBUX,SCHW,SO,SPG,T,TGT,TMO,TMUS,TXN,UNH,UNP,UPS,USB,V,VZ,WFC,WMT,XOM
MO,0.27736446236249895,0.34696221938571564,0.34416471510457486,0.21033327124770512,0.3563190892450391,0.1368855508106059,0.3094496740298656,0.3321252879263667,0.17804628302135544,0.21956450573620562,0.36567738145963835,0.3328506112259942,0.3295345973415888,0.3462730620951194,0.27675243956788764,0.37543024897855426,0.3023861029984993,0.4686551605521399,0.3519466313599223,0.33384762265211665,0.4552726959590683,0.3565445311581594,0.34452245020053374,0.32415420980416065,0.31973585738183863,0.1824798340345479,0.3404221001400441,0.3711571923020122,0.36961104483755447,0.27211802028977083,0.3462927641413612,0.4357733267657831,0.36380197364289196,0.37006810000561235,0.3247020949860742,0.3080617435560258,0.407200442192999,0.3573598499528142,0.2368178752426815,0.2388163300881543,0.23907011005325068,0.33668161854223205,0.35322572176761824,0.4465520168882075,0.36389409766291075,0.24099252962475365,0.4304485842356526,0.3659444986953608,0.5060727803030948,0.36561959677311157,0.2830634538862136,0.3660751092632017,0.33640556355816476,0.34506321405807217,0.3754463229124305,0.44452676033170435,0.3805381296714569,0.37440847610296946,0.4098543457931296,1.0,0.3291959771064868,0.33426554181593504,0.278732440965933,0.3585561606228624,0.10236460131256749,0.30909162276061064,0.16106259792317185,0.30595538459548255,0.4776479243834926,0.3320088049949696,0.46617904582336966,0.6253096302504824,0.20919289520459267,0.3939112335258003,0.33386056544788756,0.2956216138146806,0.4199001492703264,0.38098130359334864,0.42116616283919156,0.2676113743743292,0.271435474412072,0.22248060921378252,0.28725629106698053,0.3443953484939838,0.3682669858181374,0.33305767411468484,0.3904054607919291,0.3277078055087172,0.3925243121190861,0.3664574153786504,0.30534899884401784,0.38814302863536493
MRK,0.2811035735205318,0.47877491597684824,0.37253739823348575,0.26819054773169015,0.32510962814945765,0.18515729120399305,0.480106715873578,0.3531537025527386,0.2091261646813166,0.24666253111301434,0.34280657135977544,0.26695541709887444,0.35073783684688026,0.3829488451008869,0.25639653618241676,0.4031261358806466,0.39291272859127835,0.46668788841322023,0.354095338999466,0.3268845011326608,0.4007544446752655,0.3408058544324435,0.3129257728869833,0.30124251562475873,0.3176857781381656,0.25389157408985835,0.3514098564610089,0.361338777704433,0.3715105075702734,0.3654592254349539,0.29095002269308956,0.3604347410463976,0.3525877090979707,0.3658887930117842,0.2620151458522047,0.2812162176721799,0.3984347007609063,0.2983628164472985,0.3835729213879605,0.28267421666837944,0.2843211777719186,0.3512710329858776,0.3444398947103271,0.4105813885969914,0.3676297832278256,0.2627775227576355,0.5289941343400293,0.3872496269907664,0.4162259557804411,0.3966593639330798,0.4689082089073894,0.36280002664250516,0.30714588388107106,0.3663825191081176,0.3883734276372721,0.41523301004963387,0.4260166426809258,0.3852307717633961,0.3422347602564382,0.3291959771064868,1.0,0.3592092010003916,0.34273107751483706,0.32605511630914985,0.14890801507631074,0.2926257468028845,0.19955154445521475,0.33701719977589734,0.4191240841478368,0.5015731113839725,0.42590224263475884,0.3763175807801334,0.23723310205604942,0.3686407934002673,0.3040408030629356,0.31842554009837926,0.3478942733929957,0.2595457337627989,0.36037914949623945,0.23210213969853283,0.43935966240996466,0.2506673268691039,0.3206591691034441,0.3959647110895231,0.355665629306544,0.30131925230840984,0.3667438466176851,0.3731141968837764,0.37774479208945033,0.34487511263638454,0.3028849744505072,0.3428039653036305
MS,0.40608539916151015,0.42943172284892556,0.5332042433090607,0.41466832867882236,0.6254093000787039,0.35616511645818255,0.3757525114867808,0.35127630240437924,0.3516116528251205,0.4223791827604474,0.6571595544408039,0.4981333361188333,0.8079067465947274,0.7378613535822672,0.46490306684992105,0.6898889600613843,0.32047676183861795,0.6920035524842614,0.8052728788718428,0.5944939740026634,0.3101050735090715,0.4921066132433278,0.680705861261798,0.49975483442518853,0.3481291191389825,0.40970293183482864,0.49100968942702283,0.40114472037233007,0.5489001995606484,0.4173249909908643,0.5403947464067644,0.2996266243578107,0.6098832915176363,0.35333461865781135,0.5521020037069594,0.5210510309453652,0.5614724463830703,0.5390371709945571,0.3152407286157909,0.43718817227141393,0.43566672135095014,0.8393355647404436,0.4921220313917015,0.6303483885617589,0.4844355358998821,0.42697668973517033,0.39628694048814056,0.8119194486773433,0.39587503288983344,0.5606027961453123,0.290927305224692,0.39347844076662825,0.4714998813595756,0.5411838446994429,0.40594294673597947,0.39007036014698915,0.4917928770582444,0.7451938905376586,0.5323889399150549,0.33426554181593504,0.3592092010003916,1.0,0.46682596309905183,0.30403666394644946,0.21471965260946194,0.43079318300716046,0.416883017406164,0.4662277875067767,0.3665776024079685,0.37621102612616314,0.32749374705372625,0.37969079667814876,0.4220587907888782,0.553323026448466,0.4523223648730535,0.6842543645450797,0.2852597835833723,0.4714743671668118,0.4119371856057119,0.3225169903751773,0.4654300070798803,0.3491160168764979,0.5290504828482043,0.4281553422532466,0.5733504719382865,0.46477453886884207,0.7048962834783958,0.5203780938599114,0.33059654761160956,0.7287078284743765,0.2716332093217183,0.5214567675380596
MSFT,0.5900626554784043,0.48342102075411664,0.5893212016602088,0.635800410919752,0.38030341181292154,0.4295312617695817,0.3845223936603518,0.4039387373907493,0.5704820278779406,0.5006073048383671,0.4661160533100089,0.39215851834738047,0.42476800803516945,0.43419184822274987,0.4196709849736682,0.5599272563724271,0.28073666203103964,0.5142266012178691,0.4460515296761408,0.41926494186706326,0.3692585037930336,0.43682601844991875,0.4197801489687599,0.3281216191320767,0.48670080473063104,0.5420016648914855,0.5304284471441842,0.3183914483737657,0.38095092067175457,0.45917816453528415,0.4551643552006319,0.2973095728845879,0.46012044657659945,0.3462477025983483,0.37729476730371675,0.43089665135908617,0.4431340930246991,0.36282978671524097,0.3004286253899182,0.6391986030325729,0.6387719546686117,0.4671785344174716,0.5130562994939433,0.5149934318235654,0.4542202416111876,0.539555847873444,0.39139355603580306,0.45096549590205026,0.40265913190263714,0.5222525501600209,0.3545439479888483,0.35404480241931596,0.45668019674338345,0.5575030101504724,0.4368442478432119,0.43385451697733546,0.4299596358621266,0.434980742190645,0.41769056522723114,0.278732440965933,0.34273107751483706,0.46682596309905183,1.0,0.36024700228859774,0.34045435831799076,0.4428769951392772,0.5666677771176928,0.5387979342465861,0.44565690735700053,0.3521897235889356,0.4016906875112638,0.3369770255486198,0.5125881806457172,0.4155637185738492,0.4637748426515936,0.41166181943811864,0.296569797779889,0.3261601651831897,0.2946850542196762,0.3084128753279466,0.5052173259043464,0.33002167761711954,0.5902208818193988,0.4090092482588903,0.440456101616044,0.43633327030566654,0.39310649773776485,0.5386121327801213,0.2892282780931554,0.411160472266002,0.34000447617987617,0.33215354983495343
NEE,0.30261661580861354,0.39955470419467715,0.3898631378954811,0.3043555849681369,0.3021171410650778,0.19423134668204833,0.3102223508632686,0.5209785689884491,0.2331042612925836,0.24790212709264137,0.33273367172986035,0.31757970246342077,0.2755165847250266,0.3113718248836441,0.22951391966235668,0.4060176697355695,0.2650187016925594,0.4101561485601759,0.2889782392444605,0.2541288198007798,0.45204173674214754,0.33602979078715595,0.27414223572236657,0.2334818243215888,0.351528115835058,0.25754482355488145,0.3175814308229538,0.28898219796827157,0.31792479190482037,0.37470734786391235,0.32972588305736217,0.7166531171435636,0.33034273535135156,0.6484315161442029,0.2839338914516626,0.2867756741370793,0.38329475637369376,0.28085450804494433,0.21725324468155865,0.29166905071271654,0.29527749426537286,0.27831501036349665,0.42220331955116075,0.41909630664367836,0.32329477663010886,0.27625643631670216,0.41125153738883835,0.30653437862370453,0.5067525015453096,0.3911084524000866,0.30107720419371076,0.3486378352165251,0.36570390260510033,0.3551929601819263,0.4176437940078245,0.4680870740783777,0.3933490552730698,0.31194640439399174,0.3522884760745245,0.3585561606228624,0.32605511630914985,0.30403666394644946,0.36024700228859774,1.0,0.13940062876203596,0.34474640904047943,0.22547903668205838,0.28292484795898676,0.5116635062816162,0.32341700072728496,0.484848965978466,0.3932356830448993,0.2520095520928442,0.3653953213844679,0.3461880769012592,0.2288492389410125,0.7042562328645244,0.36414318578841975,0.3681022027745174,0.2700511658158421,0.3572690588729398,0.26572886565025133,0.32213877258005813,0.3357051290335575,0.349324642972498,0.3346830643130277,0.32124360187727036,0.33575479579429757,0.40246668508102623,0.30653137443859907,0.32529117142623615,0.3004274693645342
NFLX,0.2995867972269275,0.19742770935654297,0.27926043575637866,0.3526404435112766,0.17055060270544267,0.2860542758352804,0.19028395216202731,0.18241108750619395,0.43412525825794107,0.2871772379289084,0.2046792006695059,0.20760113990834914,0.210197846672186,0.19542859137555624,0.30686054854073164,0.2762192570033702,0.12988692984777675,0.23694890682208508,0.2210676378394258,0.21973062379586852,0.13836049915776383,0.22812837562049046,0.2117168278691281,0.14280867928662766,0.24397492036791416,0.36011702779367805,0.23114426325736567,0.12727110247363196,0.1472536099508687,0.2313633467224863,0.2650268071220522,0.05838006980919433,0.19756634465711548,0.10575656000017904,0.1912206015888359,0.2388978639302089,0.19970805723717341,0.17803571689951245,0.17966953006783098,0.3550042751881667,0.3530232706830988,0.23025127042202215,0.24913032190476528,0.22129258211799732,0.15868555410426743,0.25996938981706025,0.14642617490595897,0.19498579499883165,0.11942747942318085,0.24365856118847648,0.15181949699418776,0.13047169541383338,0.2321199699196096,0.2932524030598078,0.16623982643805757,0.18596937874825809,0.19673794212933704,0.19272798391657048,0.2067683914683,0.10236460131256749,0.14890801507631074,0.21471965260946194,0.34045435831799076,0.13940062876203596,1.0,0.25543530404051384,0.3430397801786532,0.25094466697918416,0.14530953881090436,0.14468707929366437,0.13521155167925214,0.13575604069083694,0.25267279738586723,0.1720281916881162,0.2636429528218114,0.21761794453556518,0.0749064471522577,0.1305920874061774,0.11646443068366306,0.161679699059889,0.24312155287019452,0.19211650142658304,0.30937047237988224,0.18692776342829007,0.2054307926932633,0.23249020121040612,0.16504717012297251,0.27863941506565404,0.09105474145956198,0.17649130744789843,0.15723206971330417,0.13359976186073097
NKE,0.41213602466629046,0.3928937736423295,0.45564388791701543,0.40831587396462315,0.393269952413544,0.30199113666596133,0.2959538074223163,0.36327509647347717,0.3783349004112698,0.37985536374654766,0.45434099845269765,0.41452412366721986,0.4001713018633007,0.4243826957960024,0.4122117657911915,0.510696481434623,0.2535366079265574,0.47510391632273596,0.4269918603282458,0.40183282071866144,0.32965177794724193,0.3810192384278068,0.43642150678523767,0.30488784552587495,0.38641910887518016,0.39575560125741316,0.4021072038851938,0.28363082014513624,0.35188106714244666,0.3861184777168788,0.4604599187786947,0.28557408964235176,0.45227816581407765,0.31985797587719156,0.4213960075654146,0.40663619298084547,0.4071932280202046,0.37722504756510317,0.2616899355043094,0.4155256217795946,0.4173638870386505,0.41781752497867575,0.4982927565913334,0.5040889160788579,0.3633972827733756,0.3547529839851493,0.33122973431638864,0.42562096206959843,0.38744584008336524,0.4459277636608038,0.238543883085333,0.3213805390881448,0.46235067663232005,0.4952395788531016,0.4296842514344007,0.37768686584447736,0.40760928288590215,0.4406205085102385,0.42388614563805954,0.30909162276061064,0.2926257468028845,0.43079318300716046,0.4428769951392772,0.34474640904047943,0.25543530404051384,1.0,0.36731028305019675,0.3538385573796706,0.362911051355941,0.28886874611130614,0.34152733865327284,0.3241681460968055,0.3660705282451697,0.4289132968489249,0.5027915478592658,0.4008831863507883,0.3044572237661698,0.3846295843334056,0.30704128017076376,0.37063851218663907,0.4150755120384953,0.27948237167507883,0.43057187052755097,0.3289361374620611,0.44334334437874307,0.4181773246935043,0.4251000861213017,0.46886165455094536,0.2730021153534927,0.4117672124635177,0.2817112112156155,0.3407197875126295
NVDA,0.49056245212071237,0.3373514408795864,0.4594566033054324,0.5258025257215687,0.31618137388338136,0.5670849719735531,0.2709703880937392,0.2916387939553002,0.46809001138811396,0.5416023296433662,0.3767310794185231,0.3455919052663567,0.35688049197926797,0.37400624698774676,0.39154043495605195,0.4681612984260408,0.16811779148377065,0.389854001923798,0.37768204314336684,0.3826770625214927,0.20417334130715084,0.3309187335102132,0.36578406309031875,0.2664480121576287,0.3789860603318168,0.4856156668761898,0.41743937901005523,0.21787586744017332,0.29047920722519277,0.37887309220452636,0.37226026191446854,0.13330828842163742,0.3997114559045973,0.21525381117555972,0.3606557687816615,0.3937348549721728,0.32923351174679544,0.3353917361002209,0.20565282056094206,0.5019749038866466,0.5040696503196112,0.3959099781225117,0.4106848025727586,0.4067798718838584,0.331283877684163,0.4793136706735947,0.2094812751789043,0.3639972671299816,0.2205711605847079,0.4123157973538966,0.24362802482066298,0.23776604796568665,0.3703284281889701,0.47146028684461827,0.28709133905121703,0.26774889557178005,0.30784695821007363,0.3543764395384695,0.34241451374625465,0.16106259792317185,0.19955154445521475,0.416883017406164,0.5666677771176928,0.22547903668205838,0.3430397801786532,0.36731028305019675,1.0,0.4257732155696639,0.2504608241202772,0.21701112872464517,0.21791517251837794,0.20324963977246982,0.5325450050107078,0.31754551536915404,0.3735153188957654,0.3651940274630399,0.14221772480437936,0.2547437125635489,0.18151876725812252,0.26166164573683337,0.41109113466146385,0.2707792029148018,0.6028664802487758,0.2839680124401403,0.3593983636579069,0.3694680648549827,0.30596245008452777,0.44769357457698816,0.1450152845613008,0.32387806774821987,0.2178659136638262,0.25192501929229155
ORCL,0.43274034089059754,0.39378653196192664,0.5415944294696804,0.47791430259732753,0.390254858579565,0.35214998995557395,0.35190503876841606,0.3404607948009755,0.3893585692071888,0.42459351008715296,0.4382623275813355,0.35097716654002387,0.44158675346555804,0.4571027644735215,0.3848659789512086,0.5113087099338759,0.2653508152508148,0.5088948155299844,0.4537724761299128,0.43856501026044503,0.3549583029165056,0.3924081241317879,0.4119487793184036,0.31505395213411996,0.40342972682012734,0.4451501978979926,0.49403975898613456,0.3260262252102766,0.3642707233023919,0.40165867023759616,0.4061864207251162,0.29047743472088133,0.4648771924881733,0.29895328769137597,0.3671990625358876,0.4188121485758177,0.4490311845951587,0.3884926684359908,0.29698428388158965,0.43696752122080323,0.436119162866268,0.45678294993983243,0.44264027165543357,0.49441880349779166,0.48529361849226965,0.4238102036533808,0.3744077088889645,0.4615039095406255,0.357321605913768,0.46589796053130395,0.3377481120869592,0.3471948770784022,0.3798332802314647,0.476150776057487,0.3711263345255997,0.36482716447075525,0.39203629913730687,0.46572751208011703,0.43828914035509686,0.30595538459548255,0.33701719977589734,0.4662277875067767,0.5387979342465861,0.28292484795898676,0.25094466697918416,0.3538385573796706,0.4257732155696639,1.0,0.38586867592411206,0.3533642552614051,0.37302253689875614,0.3287009854651638,0.408932317896123,0.4220102770540074,0.4011994185481986,0.4240403939335654,0.2786951394205182,0.3067685878843273,0.3316316164585699,0.294773672140677,0.4386779680986238,0.29192280963173173,0.4871031482222861,0.3568733027677854,0.4200587744051496,0.4250756981164128,0.4276564711493997,0.45332680715503104,0.2901010704524568,0.4248033840130012,0.3139999630429688,0.34059914270503117
PEP,0.3756767867306397,0.46995559365781103,0.4530101416927406,0.35849706284051613,0.35974709194789944,0.21458413324807174,0.42705070252706345,0.49574307344057367,0.2706823857171408,0.2860996024882296,0.38336373317173483,0.33078633167253035,0.34249317308307836,0.3755605843466037,0.28330648361570054,0.46613819943061846,0.3441044032115366,0.5131663631252101,0.3545809758324761,0.31206173496009276,0.6445372331932915,0.42636723906601554,0.33702031345135486,0.2830902266523158,0.4717111601445148,0.2963532579179444,0.4301096484248044,0.4084978251147853,0.36182760318531565,0.38579288095079906,0.37450349993635224,0.5798299661562404,0.3733438654730506,0.5231619447686139,0.29145236400694285,0.34766841447835917,0.44074580539047414,0.29881998455526604,0.32090068949486633,0.3435942442596883,0.34869420286066233,0.3604321015701344,0.4901484372804938,0.46687067481669164,0.43405560273296756,0.34845434465632374,0.5494718738515436,0.38864933163597354,0.707568753123192,0.4626272036146104,0.37446250051200447,0.4407970761321075,0.41277235407434576,0.42826407678951905,0.5020272100797881,0.648259723326701,0.4501109123710477,0.39514434507085217,0.4223947086149032,0.4776479243834926,0.4191240841478368,0.3665776024079685,0.44565690735700053,0.5116635062816162,0.14530953881090436,0.362911051355941,0.2504608241202772,0.38586867592411206,1.0,0.41167979322927695,0.6605598549975236,0.5231578858870656,0.3040370171173219,0.40668844439042345,0.4114884901113828,0.3091898656895821,0.5659248147085014,0.35219303204808744,0.4351926690327986,0.3157137176501762,0.38895151250700377,0.29880123488428817,0.3859054614830537,0.4209298858634415,0.39194694779838385,0.3937454386029471,0.37051797754409493,0.42362632090970737,0.4479655579178221,0.3739491045983774,0.4549322648936516,0.3604352296813869
