,ann_mean,ann_vol,sharpe_ratio,downside_vol,sortino_ratio,skewness,kurtosis,max_drawdown,min_return,max_return
AAPL,0.244954660148909,0.27876494424581055,0.8787140033393576,0.2054379050901084,1.1923537676334264,-0.23532833697623942,5.453171448813289,-0.45938830449560963,-0.13770784496825425,0.1131573133455808
ABT,0.11983302902185784,0.21468101126039987,0.5581910962609774,0.16258795118055375,0.7370351133140449,-0.3266024405590035,7.246910845431176,-0.3721603630619111,-0.10298203205381941,0.10378336535968201
ACN,0.16041328663524243,0.24266075168503512,0.6610598768912291,0.18645226214255042,0.8603450813195277,-0.18429481873461745,6.931918272291125,-0.43278686373561454,-0.10960842313423487,0.12095400351696373
ADBE,0.16611977610933257,0.3221946046809542,0.5155883236276686,0.25976873395836886,0.6394910333433558,-0.6814767618534416,11.975676385315158,-0.6399185507894026,-0.21114834200422467,0.16313277614308605
AIG,0.08885025116475413,0.34241298291616856,0.25948271706305875,0.27418565553477947,0.32405142052912317,-0.5479394517133298,13.434806469353827,-0.7461388672876679,-0.2337606821798969,0.17234093061937042
AMD,0.16939151844619835,0.5524427385227215,0.3066227622054831,0.3930895865132145,0.43092344406458577,0.24085220955373102,9.473465388942525,-0.9206513956125473,-0.27745556183682973,0.4206169591986684
AMGN,0.12389101342110435,0.24117387436068236,0.5136999757934885,0.1663017271148471,0.7449773106417944,0.20629345363076015,5.531111863986063,-0.25888445111242575,-0.10075583066111894,0.11170203951699738
AMT,0.11426388103600553,0.24257488678495778,0.4710457976521711,0.1780885649641914,0.6416126777088735,-0.20360241193724354,8.238401524860109,-0.4960800707386207,-0.1644482399798143,0.1153087312901232
AMZN,0.23370516450903286,0.32657276244761796,0.71562968925346,0.23593820079039268,0.9905355034755747,0.012252869478028047,5.980623199812631,-0.6189388913060516,-0.15139791287665294,0.1462252975553698
AVGO,0.3453279887395252,0.36667475550939904,0.9417828294718078,0.26022443033121817,1.3270390804583019,0.008294983667743496,8.365287784032144,-0.521601530570653,-0.22205559259094945,0.2185942674182789
AXP,0.14705672559453076,0.2882506417948556,0.5101696380582188,0.22105192612782495,0.6652587388426288,0.2905883028388091,16.56807015076184,-0.5326597157961324,-0.16038822690267807,0.19788537876277998
BA,0.09316272164978696,0.3586540556223796,0.25975649846791726,0.2889312918370053,0.3224390167553843,-0.5197912340484743,19.460094498457764,-0.8450687175207158,-0.2724442520644285,0.21767748257595906
BAC,0.08420075011495744,0.33642415376678947,0.25028152459387837,0.2512975165917866,0.3350639960829181,-0.26580522390549605,10.062060899890682,-0.794222288119573,-0.22712912252028322,0.16378589182788603
BK,0.09000868346900359,0.27082820396926166,0.3323460487121916,0.20791336976631244,0.4329143602942432,-0.4017612479465161,8.237983251139458,-0.5570675848529157,-0.15669332665135238,0.14510884497575877
BKNG,0.20795514554572928,0.3290681088840474,0.6319516839567267,0.2502901869432134,0.830856167736655,-0.1324746588253367,10.03747374760496,-0.526973052515372,-0.18972749270213207,0.19843351735348388
BLK,0.12358274483548987,0.27499659250155556,0.4493973678411699,0.20436175929896924,0.6047253911858117,-0.18116546082522472,6.876750460465712,-0.47521011869035,-0.14681463490102797,0.12684276913802897
BMY,0.08542689255389165,0.23398861109844707,0.3650899595192247,0.18557003036667535,0.4603485400368431,-0.9489464759792402,13.59465669311854,-0.49412597164102984,-0.17417654590200343,0.10833809470194145
BRK-B,0.12834186012052548,0.19432092712861562,0.6604633994751351,0.14106864876458708,0.9097830116364137,0.020635990521791114,9.601501882566406,-0.319188894122377,-0.10083816243880421,0.10983983194273571
C,0.0667230433444879,0.3402261517763212,0.1961137995892638,0.26255873019815257,0.2541261655787722,-0.4553325168022252,10.539450097005215,-0.620571808323786,-0.21441395858932163,0.16538099890060928
CAT,0.1475427520293177,0.2908981308755374,0.5071973188182662,0.21305216182234785,0.6925193847708772,-0.2957772613087111,4.144609048121173,-0.5155674635276777,-0.15410951345503215,0.09832438435708644
CL,0.07602764378818343,0.17880062498073232,0.4252090494447445,0.13423086598962375,0.5663946457296973,-0.13752803647610554,9.941613228328308,-0.2514526444317431,-0.10295120748231575,0.11874471698252517
CMCSA,0.11950003877596985,0.24467697917260212,0.48839919137497245,0.18095676255688886,0.660378960628242,-0.2849733480750626,5.0198264164589625,-0.5451310571715977,-0.09983961924499175,0.11835512157103519
COF,0.11670219532879805,0.34127881966759877,0.3419555759201948,0.26342147604712784,0.4430246048272817,-0.5898059249696922,14.713549022785049,-0.6600283939174909,-0.2727835995322208,0.17188698608780978
COP,0.09403203287913608,0.3380883355463411,0.27812859242003424,0.2576810743932953,0.3649163334968722,-0.5179329412927396,17.209002961219706,-0.7920804873071596,-0.2855515849861417,0.2248527029423909
COST,0.20577225513917438,0.20233336555224798,1.0169961567017891,0.15325322127950924,1.3426944857744874,-0.42840483595528933,9.139027196082512,-0.3254085195059381,-0.1329752825116897,0.09494133893121344
CRM,0.1932834706287502,0.36110033355643983,0.5352625092453427,0.26470587245602767,0.7301820274533501,0.08329584881238805,10.055800152965308,-0.6351806800615356,-0.21986313830973464,0.2314680964233168
CSCO,0.08543989675459393,0.260034438739971,0.3285714660281288,0.2178272015245668,0.39223703998675263,-0.8844778304861437,16.896448896897624,-0.5358498644621058,-0.17686494267239614,0.14799299093176357
CVS,0.04188016797533506,0.2519348678124058,0.1662341078032899,0.20411512358885803,0.20517915203428444,-0.9759074829446784,12.288902250776388,-0.6569126906053281,-0.18436163461470476,0.1073281850253167
CVX,0.0793852840250026,0.26913291547137747,0.29496683408627994,0.2158995242711451,0.36769550230830417,-0.9037136158623639,26.863832960673967,-0.6141173144639794,-0.25006247125368763,0.20490368456059058
DHR,0.18116293777010836,0.2592996456152437,0.6986624965886885,0.1640444797789685,1.1043525391052784,6.544526773583236,194.48662477265006,-0.4212794368274914,-0.1023082084533742,0.4775897424797618
DIS,0.09287409931231996,0.2606528623028158,0.35631336825460463,0.19752251295955087,0.4701950067400112,-0.10072439831606325,10.392083605612275,-0.6518577374837391,-0.14113918090945185,0.13463847852517588
DUK,0.09422687189356797,0.18648591226597427,0.5052760862663853,0.143493427780521,0.6566633284256879,-0.2790652820441282,14.352204369077096,-0.39980475544752014,-0.12219111275135874,0.11601092436775877
EMR,0.09841829473672824,0.26719301483459107,0.3683415705970279,0.20816044972658615,0.47280016384475704,-0.620789224942807,14.692765922686416,-0.5494526798466062,-0.21019257167676425,0.1512954921438297
EXC,0.04492158772145201,0.22753116569121984,0.19743048203961044,0.17678787810719557,0.25409880022550946,-0.35782524658465226,17.64056046921431,-0.43402272538983827,-0.17541451206056582,0.16546439284174902
F,0.03699197044997783,0.34262576819037693,0.10796610729355177,0.26067432114604905,0.1419087629627016,-0.2819389921003474,8.328842979784316,-0.7794318344149631,-0.2028677404366778,0.21059635774124633
FDX,0.09207345060781476,0.3003140308492825,0.3065905723666415,0.2438289939018916,0.37761485676663187,-0.9654300609973359,16.804862644811553,-0.7064188620958559,-0.2408471338081623,0.1443402327367004
GD,0.11280674687765314,0.22039945510449052,0.5118286105751573,0.1655056826555837,0.6815883603972879,-0.3848278239046877,5.661184811055633,-0.5508402938669856,-0.1157054945205528,0.08753021640247595
GE,0.07597922919971427,0.31414548876841847,0.2418600040942322,0.23629485691737248,0.32154415119700497,-0.14286779554873527,7.205378371863877,-0.8615186608223511,-0.16439420585101228,0.13741106784027757
GILD,0.11915352916159289,0.2746518745937603,0.43383475659080717,0.20320331458331523,0.5863759132370788,-0.27161227428044865,8.821543519514435,-0.5564831853105846,-0.15476516985179609,0.1285777638840083
GOOG,0.1681386658197862,0.27278650361985907,0.6163745771458525,0.20220586472282304,0.8315222016446704,0.13211357631647502,7.458877339877858,-0.482305405493283,-0.11766715042875621,0.1488718576344144
GOOGL,0.1673193753868737,0.2726471778842265,0.6136846039826684,0.20174108603812893,0.8293767951425147,0.11474879663160545,7.453931921819783,-0.47954557035360384,-0.12368464778355706,0.15064537896435104
GS,0.09748530410317392,0.28640804404835263,0.3403720884554347,0.21385978125676183,0.45583748159796467,-0.2597721182761284,8.422674353479152,-0.5679060762596462,-0.13686293065856056,0.1619513632278579
HD,0.19815064078307804,0.2335221662809709,0.848530329855992,0.18616953291445215,1.0643559001360947,-1.0607172992998157,19.296947146973515,-0.41663407709602546,-0.22056974073217603,0.12884055520833432
HON,0.1403405685360623,0.22855215671929024,0.6140417598790363,0.17473794727138606,0.803148776367957,-0.2278478072143549,9.161854936205813,-0.45337264074195,-0.1288204606834143,0.14035612053730945
IBM,0.07218073206463142,0.22286699775195618,0.32387357837954217,0.18071624300173905,0.3994147447163165,-0.7012091746706479,10.419837387629276,-0.5270175217492917,-0.1375478511762119,0.10706851516331979
INTC,0.025558350001525607,0.3245648242022218,0.07874651870962253,0.26845423377307104,0.09520561341986701,-1.308502576604122,21.335175042781405,-0.8087256292276311,-0.30189614287692607,0.17832437217474406
JNJ,0.08256018256084735,0.1671926292429843,0.49380276471913737,0.12701605316614076,0.6499980160212991,-0.2886998080571391,9.387679812152562,-0.2901932231269374,-0.10578135971618256,0.0769400008397696
JPM,0.14063907868861247,0.27743523129159586,0.5069258076339808,0.20732985400658135,0.6783349140068757,-0.07607375232735794,9.680262885399948,-0.47296773751988247,-0.16210585384460668,0.16562031189302567
KO,0.08284459700111184,0.1708648970205905,0.4848543992691983,0.13726205866360172,0.6035505937161063,-0.780321690220414,9.626339303128642,-0.38601213336025825,-0.10172834125234112,0.06278271783436899
LIN,0.12849932977370365,0.21351779164014664,0.6018202454541619,0.15440421966867676,0.8322268008571251,-0.07977598643228329,6.137134063742393,-0.34559061676501746,-0.1085129693823244,0.11059920661756655
LLY,0.23298929209998187,0.2471775657286301,0.9425988617258851,0.17281863603244219,1.3481722657285886,0.6498240295309731,10.82176850588803,-0.27394901565368257,-0.11109423164608485,0.14565553534523965
LMT,0.15407523006730373,0.2091648449664112,0.7366210612115337,0.16599976326260216,0.9281653602334692,-0.5876809089200409,13.892109551612933,-0.3944090860579751,-0.1365254520212002,0.10190595400253499
LOW,0.17625891608578956,0.27736687101205376,0.635472129179154,0.22394143928516777,0.7870759277443996,-1.3509782787680646,24.31568323763063,-0.5286927378800153,-0.28461216273842943,0.13113194733166855
MA,0.20688505742989155,0.2726754288199186,0.7587227728044518,0.20784001724784332,0.9954053130354921,-0.006744884383905644,8.94499437199002,-0.4351336817675688,-0.13611147490550948,0.15367269696362873
MCD,0.12978923282582888,0.18573061357356865,0.698803661542952,0.14500950703389384,0.895039473484263,-0.1742681805575929,30.28542338364835,-0.39981810537132945,-0.17287056484730678,0.1665769640073346
MDLZ,0.10173433019942867,0.1993651739662442,0.5102913822684696,0.14488563707770732,0.702169878611673,-0.02497846280511983,8.624793848257152,-0.3171586109969889,-0.12137340968164143,0.1068856784943449
MDT,0.06387598534642465,0.22397058187740582,0.28519810419293495,0.17350398287834182,0.36815284748369986,-0.544418770917191,8.064308183557465,-0.48406908882121996,-0.13723791215401462,0.09702956368400545
MET,0.09178170008187672,0.30987722333531037,0.2961873063595966,0.2436698546262719,0.3766641557801506,-0.5764225194300018,9.151198151386701,-0.5985392745178667,-0.18201517972281944,0.15990181676046508
MMM,0.07225653910088127,0.23172479501370422,0.311820489890208,0.18218705395016466,0.3966063314281721,0.1309022982816561,18.897290684467606,-0.6712213604364483,-0.1386300967123878,0.2069378609396741
MO,0.12570082069034774,0.20352933761602524,0.6176054133654807,0.1714905012121106,0.732989989543927,-0.9603917970081037,8.813505159208315,-0.5820900638660106,-0.1056896348125638,0.09550978690839475
MRK,0.10194527595848184,0.20762439484037087,0.4910081786721692,0.15153655284118484,0.6727437971043445,-0.18070356360923207,6.884190081060658,-0.2883544680483797,-0.10383990810075762,0.09901264147383716
MS,0.11503584861989412,0.33872451917941376,0.3396147668866054,0.2494068333903271,0.46123775782783194,-0.02643856996285604,8.586366918600266,-0.7064566269083749,-0.16960273635215214,0.18040340376113115
MSFT,0.1939575980914929,0.25578636558438894,0.7582796590755049,0.18918516437390276,1.0252262577426947,-0.21049253687448558,8.024135544596465,-0.40610044974486126,-0.15945331004984764,0.13292869034631774
NEE,0.14167731591379648,0.21984850796102515,0.6444315552913059,0.173565750973526,0.8162746113166447,-0.47773944304703336,11.392586076002381,-0.4907050159807201,-0.14406775225844562,0.12830872507636698
NFLX,0.31863935684669653,0.5024127751850551,0.634218261526752,0.39949866210655965,0.797598057441566,-0.9454159987659618,29.701855892386476,-0.8824957933772238,-0.4325784894950873,0.35222962934308466
NKE,0.11386492855718462,0.27942444915922154,0.40749808722823017,0.21557223201347825,0.5281984952035261,-0.4226640511545667,15.902399783702066,-0.6535799212958023,-0.22290470673168708,0.14437230897261324
NVDA,0.3862678662882861,0.4511867939460998,0.856115186594825,0.3152342306635113,1.225336047659741,0.23449302907969335,6.751949466710479,-0.7186772627340499,-0.20771118826677262,0.26087632267872357
ORCL,0.140853687176535,0.2678365466511242,0.5258942027803499,0.20836217174517854,0.6760041229978891,0.019251298705997996,14.560008143407835,-0.4263559922729733,-0.14497233765177023,0.18587505792967904
PEP,0.08994041916526176,0.1723540449890146,0.5218352674635186,0.13524888654550418,0.6649993316950635,-0.5122981580645694,20.493244955372774,-0.318467957314085,-0.12135838548861659,0.12165657075537542
PFE,0.06469406443810403,0.21752341332788813,0.2974119587788289,0.150385325523841,0.4301886784016563,0.1159532073263845,4.569034379181931,-0.5799508824855151,-0.08050127494139758,0.10305466651178893
