Date,AAPL,ABT,ACN,ADBE,AIG,AMD,AMGN,AMT,AMZN,AVGO,AXP,BA,BAC,BK,BKNG,BLK,BMY,BRK-B,C,CAT,CL,CMCSA,COF,COP,COST,CRM,CSCO,CVS,CVX,DHR,DIS,DUK,EMR,EXC,F,FDX,GD,GE,GILD,GOOG,GOOGL,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,LIN,LLY,LMT,LOW,MA,MCD,MDLZ,MDT,MET,MMM,MO,MRK,MS,MSFT,NEE,NFLX,NKE,NVDA,ORCL,PEP,PFE,PG,PM,QCOM,RTX,SBUX,SCHW,SO,SPG,T,TGT,TMO,TMUS,TXN,UNH,UNP,UPS,USB,V,VZ,WFC,WMT,XOM
2011-12-01 00:00:00-05:00,0.2586283193215824,0.1759910304118392,0.3146113739623556,0.33372714225776157,0.49482565104753595,0.5410811748751158,0.21704376529402392,0.28256571431629873,0.3789618242791186,0.44610022514107034,0.3033791451232148,0.3033219925966479,0.5774170678754401,0.37673119070588656,0.3682256709810182,0.39282511828708006,0.1940295997178644,0.2858528892238047,0.514312659254,0.3641193420510062,0.18618895618558504,0.2841104815166628,0.3867846382558723,0.2710396616288972,0.2196535866531995,0.45289430085068333,0.34597341902304574,0.2261473526593647,0.2695398456899591,0.294539764875446,0.301990263964651,0.1522492737080399,0.32517519069236556,0.18966279011015683,0.3887528336226996,0.30982448594615997,0.27000701679118466,0.299962328948061,0.2846055404048929,0.2918124453811087,0.2918125262534476,0.36672703375461957,0.25469806153138547,0.3238590838069095,0.21684130345362534,0.26185296386346657,0.16835406302514985,0.3881282604372776,0.17381244779688146,0.24464293781235236,0.18383125185371527,0.21632740765132608,0.28002696501951047,0.3946218143390287,0.16730772464295834,0.15922390542163056,0.2668513828909498,0.43821014386018303,0.2757860329786194,0.1628479709124989,0.22270873934100227,0.5669129468567577,0.2321766386761011,0.18260728640431034,0.7044669310271426,0.3083332515736039,0.5674815658985207,0.333585299048476,0.1683138753922614,0.24039094237823658,0.1490098688738944,0.2008840532271154,0.3186849122733931,0.2724948922990688,0.3342112144682781,0.3827827967855184,0.1262490308512875,0.2902421964787979,0.18161153471862068,0.23993223660387716,0.3158340508683539,0.649879379638642,0.27440281243355075,0.30959304971794255,0.29573659336379154,0.21340752032775664,0.34396717694482126,0.3418450704450767,0.19287231889859463,0.38072615510980656,0.1638645838356275,0.2484576377355118
2011-12-02 00:00:00-05:00,0.2586377668818139,0.17605723293805603,0.314650303743496,0.3337240432373972,0.4944239068297236,0.540908568066404,0.2170349630433975,0.28262575454954775,0.37897333018486173,0.4427011894800809,0.3034976245346208,0.30334829241928624,0.5775734845140852,0.3768336851306747,0.3672959192864184,0.3929308858804487,0.19409019266400176,0.2858217133084682,0.5161842144424867,0.36407573142936817,0.1861807811163882,0.2861346290272252,0.3869480581022988,0.27122202136959767,0.2194847390610363,0.453035546607393,0.3458895332337691,0.2258493073667174,0.26952285169798224,0.2951685993057326,0.3024037630255381,0.15231881750816767,0.3253009551180721,0.1900506363196087,0.38995066033465464,0.30982600782082376,0.2702464930533132,0.3001151583190528,0.2844295273221636,0.29199244842418537,0.291992526232933,0.36807941645985853,0.2550877772968209,0.32382580498825675,0.21684115407399954,0.26212486792808654,0.16907137279035847,0.39272840254746333,0.17383465164476108,0.24467087553788233,0.18395708019828688,0.2166680060569353,0.2806173118217799,0.3947074654971357,0.16726605213539705,0.15916271729598389,0.2737238274336054,0.43865119211142706,0.2758148979483781,0.16318125399607017,0.22277597224402942,0.5711500659739168,0.23213371309546987,0.1826026152705428,0.7034842870250944,0.308473346581522,0.5668365615508101,0.33303517753616496,0.16833811539355775,0.24051891123413993,0.14926616019189748,0.20091603968442565,0.31871557313556104,0.27249485102889476,0.3342583068377631,0.38335208200444965,0.12647711849795368,0.29025217554777616,0.18163466680776005,0.24020820777624485,0.31591946854804565,0.6498790261052808,0.27451046224420633,0.30964939180389145,0.2956112806321232,0.21340755942405903,0.34396756991199495,0.34189226238635256,0.1928331836134406,0.3809830683016151,0.16410490718549456,0.24841541526114277
2011-12-05 00:00:00-05:00,0.2586364727235512,0.17577202235861275,0.3149953014622386,0.3349979230009001,0.4947646884079022,0.5407992373756159,0.2172030661396272,0.2826083722804105,0.3787503355874571,0.44259711859551004,0.30368795652242214,0.30336619862390474,0.5780894589134696,0.3779094440255953,0.3672782885475826,0.39515346923181316,0.1940822069802872,0.28588660842699376,0.5195505214643258,0.36410821217778816,0.18615897081151436,0.2862349870329415,0.38812906454893614,0.2712178901736765,0.2192699023678492,0.454893927021693,0.34562037591116024,0.22583708349491324,0.2697161649068184,0.29516021514611623,0.30253771089791526,0.15218729291060523,0.3256513570517575,0.19010723372643176,0.390435548667253,0.30960768684040585,0.27024753542231783,0.30044336272074423,0.28464650504165706,0.2919682431194827,0.29196832586163,0.3691267312521675,0.25511845633061186,0.32393320527897873,0.2168666170755086,0.2625123970852958,0.1689764360674912,0.39434817266440386,0.17364620985729148,0.24528954493225916,0.18387284592146988,0.2165933289417445,0.280617474719194,0.39477506839478915,0.1672981042951242,0.1591528574500569,0.27631879232963935,0.4398999597589266,0.27621135679265196,0.16310352316370763,0.2228626982042229,0.5751114631952317,0.23281785374831063,0.1830041555359313,0.7044332678762093,0.3084843924630398,0.5667209910221841,0.33373516178077905,0.16820716128813662,0.2404995142897108,0.1492150264360256,0.20087286887059794,0.31853952509060246,0.27246568676281935,0.33429886573521717,0.3863103050758164,0.12694809931444428,0.29024081293626314,0.18160025296023505,0.24035371189700755,0.315875687831415,0.6499068656575993,0.274623152156894,0.30929335119304247,0.2961483717631826,0.2137512434449012,0.3440353002091125,0.34193630455883123,0.19288270813414174,0.38170675284886446,0.1641291787878097,0.24853198350363534
2011-12-06 00:00:00-05:00,0.25861575961694666,0.17580138441435944,0.3147236003214096,0.33492927670595257,0.4951719524560483,0.5403887358641427,0.21722971358682114,0.2826105679135181,0.37933017529877583,0.4357622179424189,0.30368155308156597,0.3033307063355331,0.5780809649472035,0.3778817239636017,0.3672790299178868,0.39549830789024976,0.19420219817470535,0.28581833858819033,0.5180682347109498,0.36402113672873615,0.18609742081746108,0.2861060037674312,0.38893372512355434,0.2712451337420611,0.21937935074105983,0.45507954657669386,0.34562876890739824,0.225292909614724,0.2696678104452601,0.29496029982917543,0.30249003448028866,0.15165647648865074,0.3255920452479044,0.18991065198647444,0.39043550264344135,0.30960000997264303,0.2697807727282068,0.30073356429206416,0.2845430882007913,0.2916104513946181,0.291610527369416,0.3694104199172751,0.25506430293898735,0.3239061203799443,0.21694211738941307,0.26274831810736743,0.16897928354966943,0.39410639270847025,0.17371499694235776,0.24534387086214635,0.18761357528245318,0.21642751436653118,0.2808282510318019,0.3938810906701072,0.16718279949054218,0.158798336252003,0.27622076592034495,0.43976093277479544,0.2748185409517399,0.16410013057525522,0.22287159032294698,0.5750805518622778,0.23281954560346796,0.18304158555022598,0.7047028767812082,0.3084401158227423,0.566015422844262,0.3336138512249916,0.1682470661774848,0.24119876674897595,0.14921086345757026,0.20047284842096466,0.31858000092464533,0.27249469732945875,0.33451156407986143,0.38628096554511226,0.1271395867900423,0.29020738781129857,0.18142171061585527,0.2404378691824562,0.31600021016149,0.6542930317840716,0.2743354035916794,0.3089214786613363,0.2966360361975972,0.2137627088323497,0.34398144527916047,0.3414851825625272,0.192982363191225,0.3816078108804219,0.16394272398135606,0.24855979793293
2011-12-07 00:00:00-05:00,0.2585524241812234,0.17576503797924026,0.31494667215409783,0.33487960274245354,0.493987653761452,0.5401522458228581,0.2173409856079122,0.2822633187113272,0.37969217994740523,0.43544820400826567,0.3033541735794706,0.3029162249720693,0.5771476555985972,0.3772633082618805,0.36735586372426393,0.395308651239661,0.19451519924626418,0.28578819257661975,0.5180516099421044,0.36410637528976386,0.18613437002740876,0.2861223505096368,0.3860158223883841,0.2712378752774746,0.2194155186306637,0.4536099943699643,0.3459013476411614,0.22519661491836868,0.2696546211091387,0.2952957339669681,0.3024214002683415,0.15148536050635422,0.32557867233566085,0.18989909071580113,0.39034511563399227,0.3101551333912407,0.26977142783774116,0.30073525960921116,0.28466740661163514,0.29155869124454886,0.2915587689978726,0.37042704808229,0.2548820241267879,0.32414393836050104,0.21692126898250963,0.2627936209732689,0.1696138868716272,0.3939488328467773,0.17368137694156682,0.24565113835045982,0.18805402850350503,0.21620206275503553,0.2806374889181971,0.39368956401447003,0.16589594579399838,0.1584394876964773,0.2761469000695085,0.4379937840423446,0.27477524629406647,0.16354660340521154,0.22294437568530978,0.5760301656380779,0.2324417280228813,0.18310114588826537,0.7071214809783638,0.308466853169317,0.565981384641388,0.3336237083322031,0.16828960672928706,0.24141193612864126,0.14913601984771258,0.20046632433736927,0.318569632127118,0.27227771591739075,0.3344379481312532,0.3847945098511647,0.12709920949151043,0.28988153058393323,0.18155450791097025,0.24064917973837677,0.31599825931099895,0.6555054625771145,0.2742682019723649,0.3095920403969636,0.29609334694276035,0.21471931985096623,0.3425623940194044,0.3416579527228148,0.192985293324352,0.38061457749273964,0.1638440786729019,0.24852600668331828
2011-12-08 00:00:00-05:00,0.2585303712771068,0.17589402818234498,0.3165761389595552,0.33466665404208096,0.48088242089208083,0.5412678729144224,0.21733398341506088,0.2829257415228306,0.38045155971333505,0.4341419454637693,0.3046399446469538,0.3028465070199021,0.5765534784591229,0.38022833927849664,0.3674996905878079,0.3958349331933327,0.19466763986235122,0.2866943690594677,0.5226739938279205,0.3647275414240791,0.1861843469645287,0.28762272230920105,0.38713839999201494,0.27197249461174555,0.2190316523679252,0.4536773877557004,0.3461480167169626,0.2256843580952189,0.270572379629441,0.29690060924638567,0.3041131704391688,0.15188167766692967,0.3266989224729234,0.19048129562083493,0.3913470131551206,0.31049234763117955,0.2706946653388945,0.3018169875085029,0.28504772656553135,0.2918043076486694,0.2918043803560788,0.37364168287738164,0.2556414741516271,0.32477994494089774,0.21729488556402157,0.26559765777548267,0.16982722295339978,0.3972614955910986,0.1735595264995654,0.2458910335866175,0.18836342176727067,0.21656778713058286,0.2802910621198394,0.3939804323361478,0.1652214242050305,0.15855959195096292,0.27761324263505066,0.44130763716724675,0.2757142595600445,0.1637941484654927,0.22314554970418038,0.5823558754703579,0.2325072252921335,0.18327729096774442,0.7075985707492263,0.30856418969430643,0.566650614164008,0.3346360450911279,0.168531371985844,0.24185692572701933,0.14957537103589225,0.20100521875339314,0.3186369711537426,0.2734205697415637,0.3352861915717758,0.3871155768518365,0.1271664537547344,0.29046337472098044,0.18243152246685893,0.24095315496475783,0.3180669021291047,0.6564424180115231,0.2753555584559115,0.3105696499099819,0.2968694436080191,0.21500296649068454,0.34282422519104366,0.3416511582515217,0.19276167523533608,0.3812047405364054,0.16408894370730512,0.2490106687413753
2011-12-09 00:00:00-05:00,0.2586130869525508,0.17574800797462659,0.31765887871070225,0.33550252523780005,0.48222264661164826,0.5412034164309856,0.21717604242800484,0.28308835306067215,0.3806509753578444,0.4341506064312198,0.3051652296227094,0.3037302248083956,0.576954956785827,0.38137281463853945,0.36733456510740137,0.39661302363447054,0.19470568015395184,0.28681991690151803,0.52372481551551,0.36612600098293596,0.18619146460714298,0.2869569308005472,0.3876207996344609,0.2722522070965474,0.21968653081038797,0.4545020850246957,0.3465528281354504,0.22632821643826304,0.27118722657101585,0.2975922311003064,0.30462303253180273,0.15277643941323568,0.32697074140424043,0.1906089175711709,0.3923102908964352,0.31069984719261,0.27089971554546216,0.3016101399463803,0.28465768352185183,0.2923651706274359,0.2923652373924756,0.37377301857749257,0.2557398829331204,0.32522729685388474,0.21774851103767917,0.26581489105066614,0.17019029663382823,0.39809237937994635,0.1739665048825762,0.2459424087580587,0.18840127260574424,0.21673469537353307,0.28030960236657276,0.39430145582205073,0.16553900439211575,0.15876797849891905,0.27747435563020806,0.44217877392401406,0.2765376563068129,0.16369739037442155,0.2233932327174047,0.5831901708600954,0.2326090961402403,0.18303533422124652,0.7076791541289381,0.30960144003639173,0.5667972097644326,0.33522804648865795,0.16902548791313388,0.24203902460247534,0.14967978573206595,0.20124583625364373,0.3191652587855237,0.2744599954096341,0.33612487642781413,0.38795981855661504,0.12766442993609273,0.2912518807055938,0.18250426720795432,0.24083890917784126,0.3175557899821103,0.656927824073594,0.2739342550231377,0.3108988559062538,0.2971575991105279,0.21507296795910608,0.3429162392685449,0.34168398781678244,0.19291794787147618,0.38213804420015696,0.1641736915073927,0.24963382256578348
2011-12-12 00:00:00-05:00,0.25865454304090874,0.17582003327480836,0.3177716380595878,0.3348090190436836,0.48327314901550006,0.5424716684644342,0.21858638818859993,0.2830436844449436,0.38102384677306017,0.4357988618022723,0.3057544887558899,0.30403379894235255,0.5784642706281045,0.3821986196725161,0.3669309931610473,0.3969994485470637,0.19493732455122015,0.2873108691636071,0.526331067309291,0.3668229389159508,0.18570729602169622,0.28807535517584715,0.3881644304825849,0.2727560189945262,0.21956898546647063,0.4579600648502168,0.3470002121683403,0.22640363519199888,0.27107256483828523,0.2987986687573483,0.30436440014215205,0.153324511984882,0.327715909902058,0.1902032054710698,0.39233942780057296,0.31125837066608225,0.27137960463449046,0.30241665477052987,0.28386826315972674,0.29236026637411955,0.29236033339934864,0.37508074313666284,0.2557628701164078,0.32590597007113464,0.21811358224063618,0.26838973357376045,0.17096004827286973,0.39954556060709145,0.17425393605126374,0.24623652428057366,0.18856155873741887,0.21683087542034785,0.2804002388907889,0.3943689107281908,0.16543253711228303,0.1589584801002155,0.2777519628394043,0.4427112454608052,0.2769981573626307,0.1636282011868002,0.2231127875713008,0.5863743552154367,0.2327017632518258,0.18325820891161956,0.7085189504108721,0.3093026109994039,0.5667701389994417,0.33507224758108983,0.16895741440789633,0.24204349269002745,0.15004349357842606,0.20126567776719057,0.31916459793324026,0.27551256809137237,0.3355350422338193,0.38844273192592726,0.12795537537705015,0.29206041395925636,0.18245989584563074,0.24082682790322138,0.3142022132076343,0.6569965835783941,0.27521496129086637,0.3112585340431646,0.2973434608100059,0.21523595430902076,0.3428956619421493,0.3416132601996448,0.1929329574344124,0.3828224310864065,0.16422264959244146,0.2501740939572906
2011-12-13 00:00:00-05:00,0.2587460436251596,0.17545844771759503,0.31753051556103284,0.33490295114969787,0.4788882777333112,0.5425019434489076,0.21335917072985172,0.2829329558603891,0.38416217872662123,0.43572135921625477,0.30591711348475936,0.30385487981295967,0.5787863313615951,0.3824546754573868,0.3667838379246802,0.39710241112796046,0.19491305335461684,0.28735581016604306,0.5259126353038484,0.3676184896533556,0.18500663618707966,0.2864654876008802,0.3883545989332101,0.27290834955296595,0.21959815856641013,0.4554376390903547,0.3470087708049032,0.22656828865672368,0.2711106415935511,0.29887853326608554,0.30447389513673967,0.15365430478375622,0.32787889644789103,0.1902470241381483,0.39372622093567666,0.31281836948872405,0.2713549561946742,0.30239711920988954,0.28390303882949086,0.2923601824560208,0.292360249261692,0.37604010161465024,0.2561299719635962,0.32594313073808345,0.21800687531659735,0.26906023447681127,0.17037043853234735,0.3998508327009121,0.17372207031989803,0.24608295554506157,0.18923144427728714,0.21595406758589752,0.28114335772164273,0.39383893795648595,0.16553695769545357,0.15825274643394693,0.2777576195613532,0.4430403624071324,0.277307471644427,0.16365731031135272,0.2227691526657561,0.5864133093866832,0.23251179509947645,0.18288042311915315,0.7091288109533308,0.30996007840291695,0.5674546961936336,0.3354374856639692,0.16906041897407587,0.2425852196750612,0.15007620600389837,0.20102096012925075,0.3193644590502056,0.2753877773213115,0.33568178565347595,0.38873152857053794,0.12795284235236967,0.2919402866176533,0.18146838322112804,0.24107419952524564,0.31424549035877486,0.6572190179225004,0.2762373496989128,0.3110986770335423,0.2972934540133798,0.21551009361186096,0.34296834916564933,0.34177633356801734,0.19231809109843817,0.38306533725076214,0.1644102585080477,0.25021600981417347
2011-12-14 00:00:00-05:00,0.2597826714843276,0.1754795244555264,0.3191800817499761,0.3350092264567155,0.4788076000917454,0.5428566766851618,0.2124842570798813,0.28286791838690023,0.38405569356589236,0.43610782180997565,0.3059853134806026,0.3041514259740892,0.5789224963529601,0.3824909696652128,0.3688454272190184,0.3970160718105751,0.1949627511632327,0.28726385542001087,0.5264082918493164,0.3701600510163377,0.18505901893770518,0.2859137622140944,0.3881482002686203,0.2734818215618964,0.21986765037678385,0.4575465388473781,0.34801931255400426,0.227147337946034,0.27283751739409523,0.2991524216572133,0.30479620745812736,0.15349920399713254,0.3283151657046386,0.19043859406687821,0.3947614696556673,0.31336285860494595,0.27124686845490215,0.30241145503303607,0.28392356414285463,0.2925129029099774,0.2925129537779145,0.3762686421829228,0.25632262883540513,0.3257141058134574,0.21827877241358665,0.2691284825831941,0.17036392700103017,0.399704450110882,0.1732829166221983,0.2460449497851139,0.18944916436883383,0.21599166046122092,0.281409278705623,0.3939481061162383,0.16559138745717042,0.1582890522564339,0.2777632312582121,0.44304252925707105,0.2775331867210235,0.16393628736367039,0.22333433900375602,0.5862653838233843,0.2324449496456512,0.1825252538329778,0.7092087817750891,0.3099374510476088,0.5684081599640548,0.33693186007257575,0.16904020953517754,0.24260100817130512,0.15013960169263285,0.20125667511644557,0.320031270796983,0.27573085248191265,0.3358297777630063,0.3917024589532737,0.12794639544597314,0.2907960309972009,0.18150165265850854,0.24110027067820702,0.31485812595435086,0.6581400337840875,0.2764905665686463,0.30964291774526237,0.2977308224318908,0.2155338422867219,0.3429280006163169,0.33842712703930417,0.1923109794733105,0.3830785107787187,0.16435228710661542,0.25056469946285914
2011-12-15 00:00:00-05:00,0.25980440875058824,0.1756502947400104,0.3189750185603079,0.333779914735605,0.4788736198296999,0.542863453690879,0.21249294727393206,0.2831578143890337,0.38384650546770194,0.43370790434887,0.3043786309978182,0.30428079124811047,0.5785771266285505,0.3826118377237961,0.3688325678179135,0.3968625221235122,0.19549324996403522,0.2873426592732339,0.5264106499136275,0.3702496588865701,0.18555948276014123,0.2859434777135063,0.38897395692933734,0.27338670478231036,0.21941618093352586,0.45755561330545697,0.3477318620269653,0.22629835659535616,0.2727604457662437,0.29858103879698467,0.30479273216208436,0.15362401715574447,0.3280478559631309,0.19054314970892858,0.39464507280128885,0.3222054264287646,0.2708015546052968,0.30218406658157565,0.28365301005046806,0.2925128266138956,0.29251287540942583,0.37646463203533803,0.2562528286066393,0.32417846437286496,0.21840314624432217,0.26912858139661117,0.17081207022567305,0.39977940305190574,0.1732955131230471,0.246276532637647,0.19155212912587172,0.21595127142520637,0.2812702235470055,0.3780882896376161,0.16558447774150672,0.15840986976943824,0.27771479715502817,0.44306273904622817,0.2774818262965407,0.16422205939060994,0.22438295001165423,0.5862440776893458,0.23238709326034293,0.18280850238047852,0.7090498526796978,0.30987830711439496,0.5684720632650577,0.3380580245598235,0.16939957157362914,0.24281022276934988,0.1497751810396369,0.2016365059341912,0.3200219814859718,0.27577622265314017,0.3352156259186821,0.39151961125310225,0.1285215493395003,0.2910118363975138,0.181476229411762,0.2411608663786584,0.31501673896156807,0.6587378471965166,0.2770223652023952,0.309967985162119,0.2976007524742635,0.2149185084381633,0.342734542915365,0.30955195018542825,0.19231843927593104,0.3831005555594348,0.16427414469289633,0.2506170268714429
2011-12-16 00:00:00-05:00,0.2598352720255407,0.17560710651445655,0.31221638857031947,0.3397247195676405,0.478816094673542,0.543113956921481,0.21340026629344783,0.28308054635550217,0.3838372360479214,0.4333311989374127,0.3042553314791952,0.3041831894625099,0.5785849180095425,0.3830124693559924,0.3697117595504482,0.39651496950238313,0.1952628892318373,0.28735966237235155,0.5258071525739386,0.3702359117700906,0.1857198395050917,0.28573140459456425,0.3889109740541466,0.27321855329695277,0.21937103545637066,0.4575287114525983,0.3476309698438759,0.2263304308697366,0.2729029714428956,0.2986097934654417,0.30481431046570034,0.15359857519712403,0.3280566976098413,0.1907815485349899,0.394632114933958,0.32244991411599766,0.27079932476030405,0.30244311372421434,0.2852910755066072,0.2926827322012133,0.2926827813801088,0.37687189582456304,0.25741610117969094,0.3243423748881159,0.21951583359717045,0.26906548713406003,0.1708580507986694,0.3997344392393346,0.17339899271106177,0.24627912108042607,0.19228774492734008,0.21590513263193514,0.2814256517303285,0.37795036716079805,0.16576515048824125,0.1581841200273546,0.27572407230312446,0.442972848550457,0.27748208290789494,0.16422177773943133,0.22418324613758742,0.5861410136005709,0.23301209332420153,0.1826320798022031,0.7090496919892666,0.30978420541743634,0.5684558804230426,0.3358804136757913,0.1693822165581107,0.2425878516620349,0.14971846163442443,0.20170218555738198,0.319996332213103,0.27619593593814135,0.3351798634851762,0.39140277075050384,0.1285893995481784,0.2910437044299497,0.1814831183652123,0.24101720849307348,0.3149665008348995,0.6586519379660996,0.27709501153637023,0.30960709036683476,0.29752597904772304,0.2147249299455616,0.3428001318877596,0.30987590115411706,0.19247205587732155,0.38338749853369264,0.16429603831253398,0.25061665842846315
2011-12-19 00:00:00-05:00,0.2598110727312652,0.1758915991946628,0.31067603933332577,0.34034556550630346,0.48021834454146484,0.5452829692609714,0.21337407252159618,0.28377415682479223,0.3826751000455758,0.4354208964794402,0.3027606347564763,0.30315427069801376,0.579764131256293,0.38390449178227165,0.36958134148884086,0.397428543391237,0.19526254395269846,0.2876837704309305,0.5277307431142425,0.37015381870185066,0.18556916486824124,0.28550519507675576,0.39108441140333017,0.27299262152547427,0.21939495941293433,0.45845245938310464,0.3478799579673371,0.22794499863108583,0.27315157105209126,0.2986292089235653,0.3052412915253071,0.1536170960049233,0.32888724083747645,0.19161980918735586,0.3951443733848966,0.32515533783119827,0.2710192158413944,0.30257193942362437,0.28541210505505044,0.2926789213715299,0.29267897338236876,0.3773933806571431,0.2574797789514183,0.3247078677463814,0.2195226323717317,0.26889865685598674,0.17129722391407953,0.4013865877522644,0.1732930320809491,0.24604171691410795,0.19233745443223776,0.2158457845989824,0.28126411680923624,0.3780312773619227,0.1658044953111179,0.15823867104220216,0.2757139171616867,0.4446289244675531,0.2775540648789447,0.16420909453338373,0.22426036075513056,0.5886243306614276,0.23369225852496484,0.18270572102013174,0.7098887033764266,0.3097937923355281,0.5690372768431484,0.33643136580520716,0.1693877494952166,0.24251767845853384,0.14973160608765107,0.20179208804059823,0.32028065756451707,0.2763265513868828,0.3351718439779269,0.3914214941170682,0.12826229739904504,0.29070702603100473,0.18150417560295226,0.24143422851368446,0.315004192565746,0.6579016242467024,0.2782269419698584,0.3096046785440559,0.29785675605404216,0.2151047569634148,0.3432190673641186,0.30969411026440624,0.1925122373058914,0.3842069198190003,0.164078020373691,0.25075729896900856
2011-12-20 00:00:00-05:00,0.2620552224946964,0.175995574742465,0.3109597493806595,0.3369345326582559,0.4830686137065058,0.5493818826495851,0.2139271335738102,0.2871261772753958,0.3830019267607329,0.4377753447121574,0.3048955694610805,0.3044684599730766,0.5802124127281068,0.38742437849801264,0.37203928746398257,0.39938867664561545,0.19623560646306756,0.2887793558408834,0.5297528408929382,0.37328086694614826,0.18624892153147976,0.2860509388647283,0.39016474470979406,0.27424539494953304,0.2201749705249185,0.4570961052859242,0.35017421654590836,0.243124978389369,0.27578794922733474,0.30073205017546006,0.3077953223273779,0.1548346827871726,0.33083196545287963,0.19171986750836026,0.3963488518192602,0.3265610819440958,0.2736206269165113,0.30336760277350167,0.28547191090587026,0.2926912334299889,0.29269128093536156,0.37911017378247375,0.2608430354010772,0.32681227277061015,0.22054864018067138,0.2706019969867936,0.17195429639805743,0.4034731431143233,0.17391806643256805,0.24684359933705183,0.19251343633558127,0.2169046744088006,0.2840702203483827,0.3796133407410242,0.16647707822204874,0.15925916229478557,0.2767250085747671,0.44634043905714604,0.2792267949213745,0.16504277203011408,0.22465660051654635,0.5899416625044267,0.23432282075698987,0.18357712639800108,0.7112094624814741,0.30901275713414306,0.570384580318273,0.3369964455201532,0.16975392680443172,0.24266713489793496,0.15026141934466986,0.2021943974144139,0.32272491781791507,0.278672373264799,0.33661292655175884,0.39469595617143455,0.12956293001441527,0.2918875542981131,0.18194554756067785,0.2407816967106456,0.31666452730169903,0.6593546680093394,0.28279261915944637,0.3099968550154051,0.29880515577926725,0.21649303495094835,0.3447507350391332,0.31080002803431,0.1929739265853386,0.3862630097771786,0.16576079352357545,0.25247920005462526
2011-12-21 00:00:00-05:00,0.262046659918596,0.17622344994762631,0.31373816354015266,0.3372170797863688,0.4831709055584696,0.5497296433489007,0.21609018687488946,0.28722466303125127,0.3857242590617532,0.43889072350616887,0.30487123361914414,0.30478910125586983,0.5794105181871968,0.38655748739765794,0.37178793891199885,0.39931499353392547,0.1963185284287908,0.2887550068794979,0.529815493476002,0.3732818643785076,0.18644412912754427,0.28614610960925463,0.3900980191397315,0.27443438716908786,0.22017408603036925,0.459281588734303,0.3511924773293252,0.24329737284790418,0.2761710307544061,0.3012107091797522,0.3073610538759096,0.15519398551027141,0.3354141306398913,0.19279558383553175,0.39775111283036957,0.32659386936710577,0.27357472320233456,0.30381277177149557,0.28595381040348133,0.29275964095341755,0.29275968582633183,0.3792068408358689,0.2608354189599608,0.3268111245449527,0.22290972895416789,0.2704928548968965,0.17199079468745776,0.40246171042810963,0.17471171260489185,0.24684633088148175,0.19277365152174553,0.2171917742659253,0.2842062137851858,0.379391473343266,0.16649729175869452,0.15964643902003905,0.27736937570435266,0.4464026504734719,0.27924054026886624,0.16563918409157227,0.2247553159873796,0.589600987057961,0.23450254330284168,0.1833488741755124,0.7112123019644249,0.30443575394975647,0.5704201417218183,0.3589474945760708,0.16987483175442764,0.242663153608476,0.15028783594608947,0.20291195746443627,0.322944073411529,0.27885554442673594,0.33662258000398215,0.39473791124493607,0.12981245570234162,0.29189094348994626,0.18203138299729094,0.24070742286909846,0.31670527475157606,0.6593295464825945,0.28420424546797896,0.3097322391997633,0.29930940602895106,0.21649686568869325,0.3446387112390308,0.31084568671638957,0.19287421896790635,0.38621542050685126,0.16564236768567364,0.2528130387080391
2011-12-22 00:00:00-05:00,0.26202463349756183,0.1762444514948749,0.3138212671668118,0.3371556669442807,0.4826400797444102,0.5543998015401438,0.21605603890428468,0.28731941112739917,0.3864703936231258,0.44061831365355597,0.30487790727856356,0.30485224153247636,0.5810720171606831,0.3870618220620262,0.3720074825499588,0.3993344659502838,0.19643326532699568,0.28887428807476206,0.5331389455299114,0.3732852692703439,0.18648384254603648,0.286146801947622,0.3904272206387792,0.2748650119385673,0.22017331640664728,0.45950655760938913,0.3513279586044083,0.24345725071020224,0.27616813811998575,0.30122998163653536,0.30785802110664673,0.1552052597478603,0.33746237699854076,0.19279795429717295,0.39857518236562006,0.32658987544694845,0.2742882567765328,0.305267034744978,0.28597307975360453,0.29281352041147873,0.29281356185295915,0.38014284915119084,0.26082772364112633,0.3268643141742155,0.22291651067608353,0.2708178540847966,0.17198476884474426,0.40400849979291753,0.1748081062924641,0.24689021678270517,0.1928058542564677,0.21763077864358213,0.28481790158602294,0.3795185440719028,0.16664327867886963,0.15965520822323978,0.27800795214623836,0.44692586034494886,0.2794966855539468,0.16566506264881514,0.2248253887571822,0.5932127581455935,0.23447596635397594,0.18334479180431337,0.7125383067706363,0.30468804823336354,0.5719536715166309,0.3589423547967061,0.16987489326602923,0.24267854996370208,0.15025114206510864,0.2029328347756782,0.3231440835622995,0.27885848776161176,0.33652467121231233,0.3954442912752424,0.12985411448140896,0.29188902378738685,0.18240767274311842,0.24080831623972782,0.31742424030552735,0.6594522507393962,0.2860767502512036,0.31000004840903994,0.29947624552430724,0.21660779826369814,0.34518273191102145,0.3108618239293699,0.1927582918465017,0.3863380970050627,0.1656152784710281,0.2531197203681438
