,AAPL,ABT,ACN,ADBE,AIG,AMD,AMGN,AMT,AMZN,AVGO,AXP,BA,BAC,BK,BKNG,BLK,BMY,BRK-B,C,CAT,CL,CMCSA,COF,COP,COST,CRM,CSCO,CVS,CVX,DHR,DIS,DUK,EMR,EXC,F,FDX,GD,GE,GILD,GOOG,GOOGL,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,LIN,LLY,LMT,LOW,MA,MCD,MDLZ,MDT,MET,MMM,MO,MRK,MS,MSFT,NEE,NFLX,NKE,NVDA,ORCL,PEP,PFE,PG,PM,QCOM,RTX,SBUX,SCHW,SO,SPG,T,TGT,TMO,TMUS,TXN,UNH,UNP,UPS,USB,V,VZ,WFC,WMT,XOM
DUK,5.1434677017894257e-05,6.35948691822545e-05,6.381339227616661e-05,5.446521132924508e-05,8.354752389704298e-05,5.0946839890775705e-05,5.758525029068694e-05,9.398818370297583e-05,3.543621649231123e-05,5.252651326802382e-05,7.771230075758755e-05,8.067271590005605e-05,7.136438027396046e-05,6.339424295053322e-05,5.0601142985825856e-05,7.697396261687672e-05,5.039557596881994e-05,6.426649177083987e-05,7.616892124834908e-05,5.6682100994762436e-05,6.95184819861624e-05,6.364897843675352e-05,7.598942488733957e-05,6.535440419733071e-05,5.030227989983617e-05,5.159386990141049e-05,5.840318657106782e-05,6.133792626084665e-05,7.159821952680104e-05,6.278455616755392e-05,5.913036317892508e-05,0.0001380039502923518,6.696284336156105e-05,0.00012274379645762628,6.893721473014664e-05,5.780912949498258e-05,6.784954388119761e-05,6.797348717476007e-05,4.5098626493336044e-05,4.582491324728356e-05,4.685656707243315e-05,6.075795584155035e-05,6.778240964128266e-05,7.097550515661656e-05,6.350223321501734e-05,6.064060073188046e-05,5.76190593917212e-05,6.896896928110129e-05,7.233756827909075e-05,6.042452435402434e-05,5.8400104478283504e-05,6.378689077356495e-05,6.798287194267435e-05,6.691293091768823e-05,5.9802570238892666e-05,7.16428217631756e-05,6.831197891483379e-05,7.559564247572427e-05,6.24978332022566e-05,6.563465010392286e-05,5.537965694797075e-05,7.51056869987608e-05,5.6277165940537946e-05,0.00011659447047864284,2.1705405783747e-05,5.9051300941243673e-05,4.4510291272985914e-05,5.757430700915221e-05,7.395498872458092e-05,5.875703514029884e-05,6.699193206193365e-05,7.22615029643436e-05,4.875362694892487e-05,7.49728903758276e-05,6.458532500137348e-05,5.2197899228821805e-05,0.00011815749483291995,0.00010073235118207554,6.877739605527776e-05,4.946191081261064e-05,5.599839415495327e-05,6.006587941467948e-05,5.457152564751234e-05,6.998768166334629e-05,6.436104644596132e-05,5.378780536826585e-05,7.425216023807203e-05,6.192346421433282e-05,6.165832168615146e-05,7.512878908995006e-05,4.942094047385053e-05,6.456208869847181e-05
EMR,0.0001235229181236884,9.381980246420283e-05,0.00013973718751473325,0.00013172973699404367,0.00020939325176656782,0.0001992560223472645,8.9525989794157e-05,8.628285731740047e-05,0.00011341669824945873,0.00018260900979924122,0.0001910190577796697,0.00019845922943630877,0.00021333183566167957,0.00017366519931389304,0.00016383788042603244,0.00018361491262359483,7.693026034805378e-05,0.0001356795801127349,0.00022599783685828975,0.00021756483460545962,6.34089288826821e-05,0.00011899767991843378,0.00021681977079623425,0.00021107990560062712,7.779778226109896e-05,0.0001469124202142335,0.00013766752069085296,0.00010371071635054713,0.00017955115854112328,0.00011831794819228516,0.00014198359622649378,6.696284336156105e-05,0.000283302012604754,9.360812881395745e-05,0.00019655731767101095,0.00017001128663521935,0.00014258407928055162,0.00018778291392307911,8.669465744110218e-05,0.00012582925280418423,0.00012591298358870232,0.00018692997591273822,0.00012473622033717873,0.00017287463455478277,0.00012355435235625475,0.00015246705150688636,7.12535989551577e-05,0.0001861527721113149,8.125146844810635e-05,0.0001354143470653919,7.576390322634688e-05,9.258450260416728e-05,0.00014435396193210944,0.0001553470877192921,8.794312324334574e-05,8.247118905502148e-05,0.00012059684426559084,0.00020941755170235155,0.0001478524959579628,7.850844926740235e-05,7.761934519303045e-05,0.00021903709927489746,0.00012478805603804722,7.700382128482173e-05,0.00010524428224451881,0.00013399680907171918,0.00019121733556274974,0.00013201780887285323,6.822670084711532e-05,8.519724261410493e-05,6.20462617562899e-05,9.02691070490133e-05,0.00016115058506585114,0.00016796530712098474,0.00013120713945077308,0.00019206376171934203,6.283491039363763e-05,0.0001801956189060258,8.924387349118377e-05,9.667380318527031e-05,0.00011595753812861922,0.00012223932137154952,0.00015857402063143615,0.0001131471245209589,0.00016568458572431137,0.00012223939887878927,0.00018096887937191144,0.0001377395502535773,6.532061891790288e-05,0.00019039027103556657,5.128846536428645e-05,0.00015867742257798736
EXC,7.473227970990471e-05,7.318516069363934e-05,8.473784963914302e-05,8.02314194971286e-05,0.00011545244548736758,9.155989020767736e-05,6.699068963043993e-05,0.00010518706265832298,5.453350065946915e-05,8.197044356857467e-05,0.00010345879354663477,0.00011379234884715082,0.0001031285155334242,8.767011080275378e-05,7.67306662789929e-05,0.00010279965549070161,5.9856722123919964e-05,7.916883746917051e-05,0.00010976976148924683,8.612670376025234e-05,7.514848910813222e-05,7.893110370755213e-05,0.00011062165791613342,0.0001028491198792655,5.97026351458035e-05,8.077898936682821e-05,8.064358427866772e-05,7.27071830953719e-05,9.997774470625954e-05,7.58186382214466e-05,8.008005055346551e-05,0.00012274379645762628,9.360812881395745e-05,0.00020543821968573546,9.364329159951034e-05,8.645553092473294e-05,8.441647509589753e-05,9.491914375545554e-05,5.546974636803593e-05,6.849941585782353e-05,6.951298639591564e-05,8.612015431765873e-05,8.721532668359234e-05,9.022005626687288e-05,8.10541577365703e-05,8.713979393643297e-05,6.241504397547442e-05,9.425639189451753e-05,8.079823334675112e-05,8.105579948988143e-05,6.320868853186102e-05,6.963092430505746e-05,9.139603793598094e-05,9.317394965468959e-05,7.579049728605884e-05,8.402860143895984e-05,8.313966936548386e-05,0.00010791817613834461,7.742354314506322e-05,6.800623770035382e-05,6.859106725962271e-05,0.00010806219253961366,7.996588322744894e-05,0.00012871457386291564,4.797413801342753e-05,8.069790282220651e-05,8.768952529524973e-05,7.229592756121695e-05,8.141372940716367e-05,6.530485972688694e-05,7.31925063116157e-05,8.343433905898326e-05,8.025142630597499e-05,9.91646228263306e-05,8.549009237609958e-05,8.029474889443937e-05,0.00012321400925591344,0.00012488022073409193,7.466977242914563e-05,6.904582897429856e-05,7.282434107337742e-05,8.391762365307206e-05,8.066491018260698e-05,8.645673025137482e-05,8.792765832651936e-05,7.195367455627494e-05,9.742543641161261e-05,8.380117748028144e-05,6.575363511972941e-05,0.00010506114381636405,5.4743557349177065e-05,8.764520227764635e-05
F,0.0001360121134249918,9.544923724361484e-05,0.0001419667758945292,0.00014114566161032023,0.00023491195141123598,0.00022988291875795374,9.175606337781299e-05,0.00010311439461050968,0.00013724855810895637,0.00018905614157987331,0.00021316502545133486,0.0002348309059749018,0.00024799087977366794,0.0001904935228232566,0.00018945508886664066,0.00019747363700505231,7.52733032502678e-05,0.00014177624390801296,0.0002609226048172859,0.0002079835429769441,5.9113153929828256e-05,0.00012839931630984105,0.0002534439537521228,0.00019583906478193387,8.800664599561797e-05,0.00016061388309378645,0.00014198148168596375,0.00011251590904644453,0.00017326157962859574,0.00011796069124253568,0.0001715215048192733,6.893721473014664e-05,0.00019655731767101095,9.364329159951034e-05,0.00046584292471446787,0.000188164705544066,0.00013769172062024176,0.00020766074754433237,8.71715164022423e-05,0.00013322902927015488,0.00013291269089805118,0.00021078694446625756,0.00014751662680900738,0.0001729442176640379,0.00011999259939213965,0.00016123121718165926,6.417515947704768e-05,0.00021139733371082,8.16309318483438e-05,0.0001384621697945095,6.58879522239758e-05,8.812963842846268e-05,0.0001686905712298824,0.00016553933463755213,9.519092655734864e-05,8.533439264324168e-05,0.00012222401935984596,0.00023747908811904393,0.0001400657729390355,8.98526458840706e-05,7.396464136717703e-05,0.0002542642613587886,0.0001312132051363894,8.487101486800453e-05,0.00013062153323415942,0.00016009350998788313,0.00022124254621906476,0.00013371824626172071,6.829801770180727e-05,8.099488684414314e-05,5.795120882335379e-05,9.415587608408265e-05,0.00017192932041650371,0.0001633987063358034,0.00015871878681332434,0.00021206580926478447,6.927237903035185e-05,0.0002214817651115139,0.00010321941285893666,0.0001227829510761147,0.0001223147031511219,0.00012368466569950696,0.00016246666485980184,0.00011127433362377333,0.00016455811919859515,0.0001379621614102731,0.0002050470593630052,0.00014232043065757387,6.84951043016031e-05,0.00021967300635997394,5.805803832866935e-05,0.00015204477276817567
FDX,0.0001287550844489113,9.659967718261498e-05,0.0001357418133724083,0.00015906103630563631,0.00018296949629780068,0.00022169160641589486,9.565307952906274e-05,9.090080529271936e-05,0.0001411644905313682,0.0001766103467593749,0.00016391279857457477,0.00019605067328216211,0.0002013586750983667,0.00016318037211121274,0.0001549353227444003,0.00018085173964190411,7.214940293497085e-05,0.00012442980449934343,0.00021537531817545044,0.00018028715511825727,6.543953566472999e-05,0.00012587171190791446,0.00020565969492777441,0.00015496009656310757,8.759692441936313e-05,0.00016354823453684338,0.0001340740113487539,0.00010533238234816376,0.00013038397710605546,0.00011788705347120026,0.0001394111213990302,5.780912949498258e-05,0.00017001128663521935,8.645553092473294e-05,0.000188164705544066,0.00035789094097199924,0.00012218864790225373,0.00016945960199568296,8.845633112523382e-05,0.00013282276135927833,0.00013239097076939052,0.0001758777685385179,0.00013314325802429267,0.00014812844724565018,0.00011043042019395565,0.0001581388120405737,6.63056704227515e-05,0.00016886611382047206,7.346784799017697e-05,0.00012109965545701404,6.408642314517243e-05,8.36567562586223e-05,0.00015148944398012736,0.00014625246136502762,8.247436698510661e-05,8.429651530432472e-05,0.00010985447717288237,0.00019623818695431572,0.0001376495227027631,7.472039779615987e-05,6.958149807596819e-05,0.00021033034549584423,0.00013134857916266533,7.51345896252906e-05,0.00014303699152459087,0.00013540829202290364,0.00021170710851974188,0.0001336793271335156,7.141044246248453e-05,8.101178503487111e-05,6.448585320403168e-05,8.453571561945077e-05,0.00016277499374184036,0.00014293154114820684,0.00013560825973285806,0.00018592414308113233,5.920810988309559e-05,0.00015971397879876472,8.331165362061902e-05,0.00011990707583549712,0.00011958070549558223,0.0001299802727900755,0.00015695826194106295,0.00011033653178785528,0.00016311912693637993,0.00018059884316075733,0.00016396467652187653,0.00012816468802945828,6.379303008661058e-05,0.00017504660239337717,6.476069114525565e-05,0.00012091896033697591
GD,9.234845360640097e-05,8.002369833797449e-05,0.0001070070427075822,0.00010407279982129055,0.00016504216182976035,0.00013278274002862428,8.283853864583487e-05,7.829367863775628e-05,8.466748481364032e-05,0.00012570576328746296,0.00014363869310118362,0.00016816541097373482,0.0001607072067086008,0.00013111610567139543,0.00011946308115493967,0.0001367355780129167,7.097222423718913e-05,0.0001048506532720694,0.00016789083152862687,0.0001437392998705365,6.07936326864311e-05,9.772964495121602e-05,0.00016052316775017216,0.0001406476492184257,6.805862813506319e-05,0.00011343041360777598,0.00010962127514030605,9.8505721535181e-05,0.00012509262953761758,9.166628661505409e-05,0.00010815167658240062,6.784954388119761e-05,0.00014258407928055162,8.441647509589753e-05,0.00013769172062024176,0.00012218864790225373,0.00019276158654903312,0.0001390668785235187,7.691035120567298e-05,9.438194844462792e-05,9.494704482201315e-05,0.0001378202564274698,9.777726699516619e-05,0.00013556456533609092,9.686266449517687e-05,0.00010732536075584793,6.664711876515314e-05,0.00014128189971182896,7.302870492489528e-05,9.913089757107635e-05,7.15887778309031e-05,0.00012502265951413379,0.00010630462323538004,0.00012000688501020147,7.295707025123826e-05,7.644956942493303e-05,9.814860593968167e-05,0.000164536031357988,0.00010848479746168292,7.248440959905142e-05,7.235107620741969e-05,0.0001663354523953687,9.913380056056501e-05,7.369981911767827e-05,8.775392936607998e-05,9.951201835803333e-05,0.0001299182113935878,0.0001051855398256205,6.643837908699823e-05,7.520228128616133e-05,5.780791354452918e-05,7.572249750371072e-05,0.00010382677642849499,0.00015039777441131503,0.00010083007191439937,0.00014581240165421704,6.59709508117327e-05,0.00013135759269544274,7.69572633270026e-05,7.391120867173524e-05,8.988513850438843e-05,0.00010143911286219137,0.00010776328538617494,0.00010059413059207209,0.00012364253024154016,9.222389721439715e-05,0.0001377568939620282,0.00010762220096595329,5.932901770368107e-05,0.00014525033249783835,5.1330710374717185e-05,0.00011347507510382135
GE,0.00011901265190977881,8.766992949807976e-05,0.0001274637766058158,0.00012960268347185158,0.00021918234037278327,0.00018928386547708672,8.788226740320274e-05,8.438998975401178e-05,0.00011472233630545845,0.00016882495424078736,0.0001965579169870588,0.0002362027108473233,0.00022252890598276314,0.00017707309883488622,0.00017587168084622946,0.00017662172236983722,7.441270428682582e-05,0.00013174284926086735,0.00023938395718122425,0.00019081085874233692,6.205387677062062e-05,0.0001211561680226565,0.00022664798246896134,0.00019581025151095704,7.284863534043061e-05,0.00014261116149855436,0.00012724558178658357,0.00011089921244944699,0.00016743447765529736,0.0001116549617066513,0.00014846312886013845,6.797348717476007e-05,0.00018778291392307911,9.491914375545554e-05,0.00020766074754433237,0.00016945960199568296,0.0001390668785235187,0.0003916166194982083,7.754068632896609e-05,0.0001161603889219573,0.00011652031752758073,0.00019085147798197626,0.0001168809364270298,0.00016489353352359205,0.00012919698574097093,0.0001482568963162332,6.58067398880934e-05,0.00019601848872293677,8.127443945389379e-05,0.00012961609830697144,8.11712962078988e-05,9.78301232526421e-05,0.00013306728924872947,0.00015036116124798597,8.566362390273478e-05,7.905099729281938e-05,0.00011784592395532182,0.0002149095236722294,0.00014406326648727652,9.067001058302283e-05,7.722425087870647e-05,0.00022761210795557168,0.00011569387247670132,7.697230320167015e-05,0.00011150621560602701,0.00013139999870677142,0.0001886424677653024,0.0001297127790107907,6.42038831724609e-05,8.234174478857557e-05,6.13167919645178e-05,8.787745632486708e-05,0.0001481307815087113,0.00016879362031581438,0.00013173025636183051,0.00019260567830887073,6.979420021168609e-05,0.00019617206673670854,9.951679976215764e-05,9.030534545752417e-05,0.00010282133147475294,0.00012052906933172853,0.0001411585001742983,0.00010673992533410418,0.0001466242566969889,0.00011438705628637923,0.0001877775912642141,0.00013130283848070476,7.080298272890557e-05,0.00020480270852865984,5.0446901774331e-05,0.00015343630330171796
GILD,7.61882905981008e-05,9.253655589243096e-05,8.701621098924568e-05,0.00010057003687814716,9.994985112817606e-05,0.00010779561292974679,0.00013258035581192122,7.195584711068926e-05,9.039362925242381e-05,8.743709788021631e-05,8.975345717935865e-05,8.62826249079511e-05,0.00011343637140313535,9.424604811318629e-05,8.714771628725699e-05,0.00010784209415495556,8.90621786825032e-05,7.697939527713411e-05,0.00011294245965795682,9.497233045937868e-05,5.825979379114958e-05,8.72554977884643e-05,9.754251046764937e-05,8.209474599077019e-05,6.075660598492994e-05,0.0001055619287806956,8.822291122831258e-05,8.38301363100244e-05,7.404890337873977e-05,8.555001784441844e-05,7.610160601804236e-05,4.5098626493336044e-05,8.669465744110218e-05,5.546974636803593e-05,8.71715164022423e-05,8.845633112523382e-05,7.691035120567298e-05,7.754068632896609e-05,0.000299339889753439,8.421321776052504e-05,8.500910237043553e-05,9.293216458262121e-05,7.958541225587277e-05,8.454009402640134e-05,7.657696989589336e-05,9.544405617261462e-05,7.188228855754891e-05,9.384905299163322e-05,5.610628474879774e-05,7.259576996800065e-05,8.567243080567702e-05,6.860938927252244e-05,7.840494116196229e-05,9.134868100172245e-05,5.5320905671986705e-05,6.949803856515537e-05,8.514640950384047e-05,0.00011747106766349255,8.270688309562097e-05,5.253198771947042e-05,8.679773313441531e-05,0.00011637807737475675,8.375304624557403e-05,5.2056072905861216e-05,9.838232740401379e-05,7.969537404767397e-05,0.00010112841923342735,8.66933671094208e-05,6.0280152867522784e-05,9.289349982540278e-05,5.655403490373846e-05,6.353121068476771e-05,7.948844338986966e-05,7.446324623101158e-05,8.011087389566619e-05,0.0001052666570119845,4.5443483061718066e-05,6.63393953968303e-05,6.46473511544249e-05,6.480852225230589e-05,9.978328192120683e-05,9.408723859125726e-05,9.503508947458421e-05,8.083876002974662e-05,7.522021577653347e-05,6.935092855858602e-05,9.575476675310958e-05,8.38175993870695e-05,5.5861822065344283e-05,9.643923503367121e-05,5.3232749145537753e-05,7.1454765363529e-05
GOOG,0.00016575571684510556,9.611223050515535e-05,0.00013580631022276534,0.00019189916256567285,0.00013370882059844275,0.00021989003330668145,9.121178421648945e-05,8.909702805624739e-05,0.00021194403555168656,0.0001756345887879561,0.00013898632890642357,0.0001484521899966802,0.0001471863832242508,0.0001190779466181514,0.000166785950491664,0.00015214601643484513,6.0961369132215355e-05,0.0001007715853870746,0.00015724185555373248,0.00012282170260213436,5.6941003405450505e-05,0.00010776739294229728,0.0001543400894967418,0.00011432640241198434,8.960694587573044e-05,0.00019040468866198237,0.00012484123373998317,7.481108719208332e-05,0.00010131364224359514,0.00011522077220795802,0.000123069048369616,4.582491324728356e-05,0.00012582925280418423,6.849941585782353e-05,0.00013322902927015488,0.00013282276135927833,9.438194844462792e-05,0.0001161603889219573,8.421321776052504e-05,0.00029528760538550543,0.00029379168508147663,0.0001373893616152931,0.00011273836633441814,0.00011980493222009907,9.25977831067926e-05,0.00015172157484421575,5.918347524143045e-05,0.00012379396632576132,6.259271230060541e-05,0.00010329831020041421,7.87940624169245e-05,6.593161685924965e-05,0.00012083129892061672,0.00015675579994444812,7.381535527514563e-05,7.77513703683657e-05,9.658909783897495e-05,0.00013582297919465658,9.912975520477492e-05,5.2615494815546945e-05,6.353107168066012e-05,0.00016030132674072506,0.0001769846174950048,6.941226392675967e-05,0.0001930708091679026,0.00012568537761054613,0.00024516629825783705,0.0001266897171327898,6.41045787194338e-05,7.213834004564613e-05,5.75560836221374e-05,6.780067543886689e-05,0.00016666355841125425,0.0001062643458355957,0.00013007699771288826,0.00013356992493388097,4.8667970050739225e-05,0.00011170326028878213,6.131590818169436e-05,8.763446888202862e-05,0.00012055700959855419,0.00011874186057037457,0.00015064918979438717,9.660067327513251e-05,0.00010958132903014519,9.874286578993846e-05,0.00011575274845275064,0.0001382061524849871,5.002058518797293e-05,0.00012696008550309957,5.5542388171135674e-05,8.637254879582227e-05
GOOGL,0.00016579761399302501,9.707227742835042e-05,0.0001361875643380023,0.00019260967025891784,0.00013358371333289026,0.00022060090911573495,9.122677042239787e-05,8.977254305275865e-05,0.00021138412237021374,0.00017646754984165853,0.00013884523453170985,0.0001491176284954068,0.00014638523476104206,0.00011848745080547228,0.0001671348277574071,0.00015201563574141012,6.201524793430752e-05,0.00010052824357328988,0.00015684217454255814,0.0001227619918741081,5.753022470193447e-05,0.00010773919397833752,0.00015300557265542024,0.00011416876139003019,9.002352604289627e-05,0.0001913528075604402,0.00012494971137737553,7.525446214700652e-05,0.00010161335984630596,0.00011587614475874625,0.00012271416600388472,4.685656707243315e-05,0.00012591298358870232,6.951298639591564e-05,0.00013291269089805118,0.00013239097076939052,9.494704482201315e-05,0.00011652031752758073,8.500910237043553e-05,0.00029379168508147663,0.0002949860460644168,0.00013727766793131472,0.00011270154910171991,0.00011994868502508386,9.280929037346156e-05,0.00015225408178211517,5.969581938888635e-05,0.00012351025822615193,6.314877403759777e-05,0.00010378377403484917,7.931378663390445e-05,6.62823484180707e-05,0.0001202094769599817,0.00015698831923400863,7.382413874714443e-05,7.782285973902233e-05,9.704071143669397e-05,0.0001352074675548443,9.90147479663008e-05,5.2644512072216396e-05,6.386858914895485e-05,0.0001596619184534789,0.00017677613286129268,7.023510517084632e-05,0.00019189535946550796,0.00012617683663911688,0.00024606364509254463,0.00012637918464975317,6.502288022131084e-05,7.25234141333873e-05,5.7757603590309335e-05,6.841751522746163e-05,0.0001673010837883894,0.00010680650107256779,0.0001294845428821232,0.00013298823721108566,4.980601615439415e-05,0.00011244545822438766,6.148298594164707e-05,8.747210947609481e-05,0.00012086632334716834,0.00011919039546009653,0.00015114809881598375,9.692658076590714e-05,0.00010979630678948019,9.88390562049913e-05,0.0001149348452303531,0.00013874221140009548,5.019168641420266e-05,0.00012648378609614322,5.544284280050044e-05,8.676280721621442e-05
